season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-22,Group stage,3,Tue,2021-10-19,22:00 (20:00),Shakhtar D. ua,0–5,es Real Madrid,34037,Oblasny SportKomplex Metalist,Srđan Jovanović,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,18:45 (17:45),RB Salzburg at,3–1,de Wolfsburg,29520,Red Bull Arena,Daniele Orsato,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,18:45 (17:45),Barcelona es,1–0,ua Dynamo Kyiv,45968,Camp Nou,Clément Turpin,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,20:00,Manchester Utd eng,3–2,it Atalanta,72279,Old Trafford,Szymon Marciniak,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,20:00,Benfica pt,0–4,de Bayern Munich,55201,Estádio do Sport Lisboa e Benfica,Ovidiu Hațegan,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,20:00,Chelsea eng,4–0,se Malmö,39095,Stamford Bridge,François Letexier,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,21:00 (20:00),Lille fr,0–0,es Sevilla,34362,Stade Pierre-Mauroy,Michael Oliver,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,21:00 (20:00),Young Boys ch,1–4,es Villarreal,27398,Wankdorfstadion,Sergey Karasev,Match Report,
2021-22,Group stage,3,Wed,2021-10-20,22:00 (20:00),Zenit ru,0–1,it Juventus,18717,Gazprom Arena,Sandro Schärer,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,18:45,Wolfsburg de,2–1,at RB Salzburg,16112,Volkswagen Arena,Artur Dias,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,18:45,Malmö se,0–1,eng Chelsea,19551,Eleda Stadion,Felix Brych,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,21:00,Bayern Munich de,5–2,pt Benfica,50000,Allianz Arena,Szymon Marciniak,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,21:00,Atalanta it,2–2,eng Manchester Utd,14443,Stadio Atleti Azzurri d'Italia,Slavko Vinčič,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,21:00,Villarreal es,2–0,ch Young Boys,14890,Estadio de la Cerámica,Serdar Gözübüyük,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,21:00,Juventus it,4–2,ru Zenit,20053,Allianz Stadium,Alejandro Hernández,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,21:00,Sevilla es,1–2,fr Lille,29369,Estadio Ramón Sánchez Pizjuán,István Kovács,Match Report,
2021-22,Group stage,4,Tue,2021-11-02,22:00 (21:00),Dynamo Kyiv ua,0–1,es Barcelona,31378,NSK Olimpijs'kyj,Ovidiu Hațegan,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,18:45,Milan it,1–1,pt Porto,39675,Stadio Giuseppe Meazza,Clément Turpin,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,18:45,Real Madrid es,2–1,ua Shakhtar D.,38105,Estadio Santiago Bernabéu,Benoît Bastien,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,20:00 (21:00),Manchester City eng,4–1,be Club Brugge,50228,Etihad Stadium,Antonio Matéu Lahoz,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,20:00 (21:00),Sporting CP pt,4–0,tr Beşiktaş,40835,Estádio José Alvalade,Sergey Karasev,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,20:00 (21:00),Liverpool eng,2–0,es Atlético Madrid,51347,Anfield,Danny Makkelie,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,21:00,RB Leipzig de,2–2,fr Paris SG,39794,Red Bull Arena,Andreas Ekberg,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,21:00,Dortmund de,1–3,nl Ajax,54820,Signal Iduna Park,Michael Oliver,Match Report,
2021-22,Group stage,4,Wed,2021-11-03,22:00 (21:00),Sheriff Tiraspol md,1–3,it Inter,5930,Bolshaya Sportivnaya Arena,Felix Zwayer,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,18:45,Villarreal es,0–2,eng Manchester Utd,20875,Estadio de la Cerámica,Felix Brych,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,19:45 (18:45),Dynamo Kyiv ua,1–2,de Bayern Munich,28732,NSK Olimpijs'kyj,Halil Umut Meler,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,20:00 (21:00),Chelsea eng,4–0,it Juventus,39513,Stamford Bridge,Srđan Jovanović,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,21:00,Barcelona es,0–0,pt Benfica,49572,Camp Nou,Sergey Karasev,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,21:00,Lille fr,1–0,at RB Salzburg,33573,Stade Pierre-Mauroy,Anthony Taylor,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,21:00,Young Boys ch,3–3,it Atalanta,31120,Stade de Suisse Wankdorf Bern,Daniel Siebert,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,21:00,Sevilla es,2–0,de Wolfsburg,28663,Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,Match Report,
2021-22,Group stage,5,Tue,2021-11-23,21:00,Malmö se,1–1,ru Zenit,15520,Eleda Stadion,Andris Treimanis,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,18:45,Inter it,2–0,ua Shakhtar D.,46225,Stadio Giuseppe Meazza,Ovidiu Hațegan,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,20:00 (21:00),Manchester City eng,2–1,fr Paris SG,52030,Etihad Stadium,Daniele Orsato,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,20:00 (21:00),Sporting CP pt,3–1,de Dortmund,41341,Estádio José Alvalade,Carlos del Cerro,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,20:00 (21:00),Liverpool eng,2–0,pt Porto,52209,Anfield,Felix Zwayer,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,20:45 (18:45),Beşiktaş tr,1–2,nl Ajax,11712,Vodafone Arena,Irfan Peljto,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,21:00,Atlético Madrid es,0–1,it Milan,61019,Estadio Wanda Metropolitano,Slavko Vinčič,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,21:00,Club Brugge be,0–5,de RB Leipzig,24072,Jan Breydelstadion,Davide Massa,Match Report,
2021-22,Group stage,5,Wed,2021-11-24,22:00 (21:00),Sheriff Tiraspol md,0–3,es Real Madrid,5932,Bolshaya Sportivnaya Arena,Szymon Marciniak,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,18:45,Paris SG fr,4–1,be Club Brugge,47492,Parc des Princes,Jesús Gil,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,18:45,RB Leipzig de,2–1,eng Manchester City,,Red Bull Arena,Sandro Schärer,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,20:00 (21:00),Porto pt,1–3,es Atlético Madrid,38830,Estádio Do Dragão,Clément Turpin,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,21:00,Real Madrid es,2–0,it Inter,44887,Estadio Santiago Bernabéu,Felix Brych,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,21:00,Dortmund de,5–0,tr Beşiktaş,15000,Signal Iduna Park,François Letexier,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,21:00,Ajax nl,4–2,pt Sporting CP,,Johan Cruyff ArenA,Davide Massa,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,21:00,Milan it,1–2,eng Liverpool,56237,Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
2021-22,Group stage,6,Tue,2021-12-07,22:00 (21:00),Shakhtar D. ua,1–1,md Sheriff Tiraspol,6841,Oblasny SportKomplex Metalist,Donatas Rumšas,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,18:45,Juventus it,1–0,se Malmö,17501,Allianz Stadium,Irfan Peljto,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,20:00 (21:00),Benfica pt,2–0,ua Dynamo Kyiv,36591,Estádio do Sport Lisboa e Benfica,Deniz Aytekin,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,20:00 (21:00),Manchester Utd eng,1–1,ch Young Boys,73156,Old Trafford,Benoît Bastien,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,20:45 (18:45),Zenit ru,3–3,eng Chelsea,29349,Gazprom Arena,Serdar Gözübüyük,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,21:00,Bayern Munich de,3–0,es Barcelona,,Allianz Arena,Ovidiu Hațegan,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,21:00,Wolfsburg de,1–3,fr Lille,6544,Volkswagen Arena,Daniele Orsato,Match Report,
2021-22,Group stage,6,Wed,2021-12-08,21:00,RB Salzburg at,1–0,es Sevilla,,Red Bull Arena,Slavko Vinčič,Match Report,
2021-22,Group stage,6,Thu,2021-12-09,19:00,Atalanta it,2–3,es Villarreal,11690,Stadio Atleti Azzurri d'Italia,Anthony Taylor,Match Report,
2021-22,Round of 16,,Tue,2022-02-15,20:00 (21:00),Sporting CP pt,0–5,eng Manchester City,48129,Estádio José Alvalade,Srdjan Stojanovic,Match Report,Leg 1 of 2
2021-22,Round of 16,,Tue,2022-02-15,21:00,Paris SG fr,1–0,es Real Madrid,47443,Parc des Princes,Daniele Orsato,Match Report,Leg 1 of 2
2021-22,Round of 16,,Wed,2022-02-16,21:00,RB Salzburg at,1–1,de Bayern Munich,29520,Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
2021-22,Round of 16,,Wed,2022-02-16,21:00,Inter it,0–2,eng Liverpool,37918,Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,Leg 1 of 2
2021-22,Round of 16,,Tue,2022-02-22,20:00 (21:00),Chelsea eng,2–0,fr Lille,38832,Stamford Bridge,Jesús Gil,Match Report,Leg 1 of 2
2021-22,Round of 16,,Tue,2022-02-22,21:00,Villarreal es,1–1,it Juventus,17686,Estadio de la Cerámica,Daniel Siebert,Match Report,Leg 1 of 2
2021-22,Round of 16,,Wed,2022-02-23,20:00 (21:00),Benfica pt,2–2,nl Ajax,54760,Estádio do Sport Lisboa e Benfica,Slavko Vinčič,Match Report,Leg 1 of 2
2021-22,Round of 16,,Wed,2022-02-23,21:00,Atlético Madrid es,1–1,eng Manchester Utd,63273,Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,Leg 1 of 2
2021-22,Round of 16,,Tue,2022-03-08,20:00 (21:00),Liverpool eng,0–1,it Inter,51747,Anfield,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
2021-22,Round of 16,,Tue,2022-03-08,21:00,Bayern Munich de,7–1,at RB Salzburg,25000,Allianz Arena,Clément Turpin,Match Report,Leg 2 of 2; Bayern Munich won
2021-22,Round of 16,,Wed,2022-03-09,20:00 (21:00),Manchester City eng,0–0,pt Sporting CP,51213,Etihad Stadium,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
2021-22,Round of 16,,Wed,2022-03-09,21:00,Real Madrid es,3–1,fr Paris SG,59895,Estadio Santiago Bernabéu,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2021-22,Round of 16,,Tue,2022-03-15,20:00 (21:00),Manchester Utd eng,0–1,es Atlético Madrid,73008,Old Trafford,Slavko Vinčič,Match Report,Leg 2 of 2; Atlético Madrid won
2021-22,Round of 16,,Tue,2022-03-15,21:00,Ajax nl,0–1,pt Benfica,54066,Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 2 of 2; Benfica won
2021-22,Round of 16,,Wed,2022-03-16,21:00,Lille fr,1–2,eng Chelsea,49048,Stade Pierre-Mauroy,Davide Massa,Match Report,Leg 2 of 2; Chelsea won
2021-22,Round of 16,,Wed,2022-03-16,21:00,Juventus it,0–3,es Villarreal,30385,Allianz Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Villarreal won
2021-22,Quarter-finals,,Tue,2022-04-05,20:00,Benfica pt,1–3,eng Liverpool,59633,Estádio do Sport Lisboa e Benfica,Jesús Gil,Match Report,Leg 1 of 2
2021-22,Quarter-finals,,Tue,2022-04-05,20:00,Manchester City eng,1–0,es Atlético Madrid,52018,Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-22,Quarter-finals,,Wed,2022-04-06,20:00,Chelsea eng,1–3,es Real Madrid,38689,Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2021-22,Quarter-finals,,Wed,2022-04-06,21:00 (20:00),Villarreal es,1–0,de Bayern Munich,21626,Estadio de la Cerámica,Anthony Taylor,Match Report,Leg 1 of 2
2021-22,Quarter-finals,,Tue,2022-04-12,21:00 (20:00),Bayern Munich de,1–1,es Villarreal,70000,Allianz Arena,Slavko Vinčič,Match Report,Leg 2 of 2; Villarreal won
2021-22,Quarter-finals,,Tue,2022-04-12,21:00 (20:00),Real Madrid es,2–3,eng Chelsea,59839,Estadio Santiago Bernabéu,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-22,Quarter-finals,,Wed,2022-04-13,20:00,Liverpool eng,3–3,pt Benfica,51373,Anfield,Serdar Gözübüyük,Match Report,Leg 2 of 2; Liverpool won
2021-22,Quarter-finals,,Wed,2022-04-13,21:00 (20:00),Atlético Madrid es,0–0,eng Manchester City,65675,Estadio Wanda Metropolitano,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
2021-22,Semi-finals,,Tue,2022-04-26,20:00,Manchester City eng,4–3,es Real Madrid,52217,Etihad Stadium,István Kovács,Match Report,Leg 1 of 2
2021-22,Semi-finals,,Wed,2022-04-27,20:00,Liverpool eng,2–0,es Villarreal,51586,Anfield,Szymon Marciniak,Match Report,Leg 1 of 2
2021-22,Semi-finals,,Tue,2022-05-03,21:00 (20:00),Villarreal es,2–3,eng Liverpool,23665,Estadio de la Cerámica,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2021-22,Semi-finals,,Wed,2022-05-04,21:00 (20:00),Real Madrid es,3–1,eng Manchester City,61416,Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2021-22,Final,,Sat,2022-05-28,21:30 (20:30),Liverpool eng,0–1,es Real Madrid,75000,Stade de France (Neutral Site),Clément Turpin,Match Report,
