season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2021-22,Group stage,1,Tue,2021-09-14,18:45 (17:45),Sevilla es,1–1,at RB Salzburg,18373,Estadio Ramón Sánchez Pizjuán,Aliaksei Kulbakou,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,18:45 (17:45),Young Boys ch,2–1,eng Manchester Utd,31120,Wankdorfstadion,François Letexier,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,20:00,Chelsea eng,1–0,ru Zenit,39252,Stamford Bridge,Bartosz Frankowski,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,21:00 (20:00),Villarreal es,2–2,it Atalanta,12916,Estadio de la Cerámica,Clément Turpin,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,21:00 (20:00),Barcelona es,0–3,de Bayern Munich,39737,Camp Nou,Michael Oliver,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,21:00 (20:00),Lille fr,0–0,de Wolfsburg,34314,Stade Pierre-Mauroy,Danny Makkelie,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,21:00 (20:00),Malmö se,0–3,it Juventus,5832,Eleda Stadion,Artur Dias,Match Report,
2021-22,Group stage,1,Tue,2021-09-14,22:00 (20:00),Dynamo Kyiv ua,0–0,pt Benfica,21657,NSK Olimpijs'kyj,Anthony Taylor,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,19:45 (17:45),Sheriff Tiraspol md,2–0,ua Shakhtar D.,5205,Bolshaya Sportivnaya Arena,Deniz Aytekin,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,19:45 (17:45),Beşiktaş tr,1–2,de Dortmund,22445,Vodafone Arena,Antonio Matéu Lahoz,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,20:00,Sporting CP pt,1–5,nl Ajax,20382,Estádio José Alvalade,José Sánchez,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,20:00,Manchester City eng,6–3,de RB Leipzig,38062,Etihad Stadium,Serdar Gözübüyük,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,20:00,Liverpool eng,3–2,it Milan,51445,Anfield,Szymon Marciniak,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,21:00 (20:00),Inter it,0–1,es Real Madrid,37082,Stadio Giuseppe Meazza,Daniel Siebert,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,21:00 (20:00),Club Brugge be,1–1,fr Paris SG,27546,Jan Breydelstadion,Sandro Schärer,Match Report,
2021-22,Group stage,1,Wed,2021-09-15,21:00 (20:00),Atlético Madrid es,0–0,pt Porto,40098,Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,18:45 (17:45),Ajax nl,2–0,tr Beşiktaş,52628,Johan Cruyff ArenA,Benoît Bastien,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,19:45 (17:45),Shakhtar D. ua,0–0,it Inter,26170,NSK Olimpijs'kyj,István Kovács,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,20:00,Porto pt,1–5,eng Liverpool,23520,Estádio Do Dragão,Sergey Karasev,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,21:00 (20:00),Real Madrid es,1–2,md Sheriff Tiraspol,24522,Estadio Santiago Bernabéu,Lawrence Visser,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,21:00 (20:00),RB Leipzig de,1–2,be Club Brugge,23500,Red Bull Arena,Slavko Vinčič,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,21:00 (20:00),Dortmund de,1–0,pt Sporting CP,25000,Signal Iduna Park,Srdjan Stojanovic,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,21:00 (20:00),Paris SG fr,2–0,eng Manchester City,37350,Parc des Princes,Carlos del Cerro,Match Report,
2021-22,Group stage,2,Tue,2021-09-28,21:00,Milan it,1–2,es Atlético Madrid,35374,Stadio Giuseppe Meazza,Cüneyt Çakιr,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,18:45 (17:45),Atalanta it,1–0,ch Young Boys,8536,Stadio Atleti Azzurri d'Italia,Felix Brych,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,19:45 (17:45),Zenit ru,4–0,se Malmö,15339,Gazprom Arena,Anastasios Sidiropoulos,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,20:00,Manchester Utd eng,2–1,es Villarreal,73130,Old Trafford,Felix Zwayer,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,20:00,Benfica pt,3–0,es Barcelona,29454,Estádio do Sport Lisboa e Benfica,Daniele Orsato,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,21:00 (20:00),RB Salzburg at,2–1,fr Lille,24207,Red Bull Arena,Halil Umut Meler,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,21:00 (20:00),Juventus it,1–0,eng Chelsea,19934,Allianz Stadium,Jesús Gil,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,21:00 (20:00),Bayern Munich de,5–0,ua Dynamo Kyiv,25000,Allianz Arena,Marco Guida,Match Report,
2021-22,Group stage,2,Wed,2021-09-29,21:00,Wolfsburg de,1–1,es Sevilla,11733,Volkswagen Arena,Georgi Kabakov,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,18:45 (17:45),Club Brugge be,1–5,eng Manchester City,24915,Jan Breydelstadion,István Kovács,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,19:45 (17:45),Beşiktaş tr,1–4,pt Sporting CP,22936,Vodafone Arena,Slavko Vinčič,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,20:00,Porto pt,1–0,it Milan,32130,Estádio Do Dragão,Felix Brych,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,21:00 (20:00),Atlético Madrid es,2–3,eng Liverpool,60725,Estadio Wanda Metropolitano,Daniel Siebert,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,21:00 (20:00),Inter it,3–1,md Sheriff Tiraspol,43305,Stadio Giuseppe Meazza,Danny Makkelie,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,21:00 (20:00),Paris SG fr,3–2,de RB Leipzig,47359,Parc des Princes,Marco Guida,Match Report,
2021-22,Group stage,3,Tue,2021-10-19,21:00,Ajax nl,4–0,de Dortmund,54029,Johan Cruyff ArenA,Jesús Gil,Match Report,
