season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2011/12,Group stage,2,Tue,2011-09-27,21:45 (19:45),Trabzonspor tr,1–1,fr Lille,17349,Hüseyin Avni Aker Stadyumu,Björn Kuipers,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,19:45,Arsenal eng,2–1,gr Olympiacos,59676,Arsenal Stadium,Velasco Carballo,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,20:00 (17:00),Zenit ru,3–1,pt Porto,21450,Stadion Petrovski,Howard Webb,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,20:45 (19:45),Milan it,2–0,cz Viktoria Plzeň,66859,Stadio Giuseppe Meazza,Florian Meyer,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,20:45 (19:45),Leverkusen de,2–0,be Genk,25138,BayArena,Alan Kelly,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,20:45 (19:45),Valencia es,1–1,eng Chelsea,33791,Estadi de Mestalla,Nicola Rizzoli,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,20:45 (19:45),Marseille fr,3–0,de Dortmund,26142,Stade Vélodrome,Jonas Eriksson,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,21:45 (19:45),BATE Borisov by,0–5,es Barcelona,29555,Dinamo Stadion,Manuel Gräfe,Match Report,
2011/12,Group stage,2,Wed,2011-09-28,21:45 (19:45),Shakhtar D. ua,1–1,cy APOEL FC,47014,Donbass Arena,Robert Schörgenhofer,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,19:45,Manchester City eng,2–1,es Villarreal,43326,City of Manchester Stadium,Pavel Královec,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:00 (17:00),CSKA Moscow ru,3–0,tr Trabzonspor,18000,Stadion Luzhniki,Mark Clattenburg,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:45 (19:45),Napoli it,1–1,de Bayern Munich,60074,Stadio San Paolo,Olegário Benquerença,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:45 (19:45),Basel ch,0–2,pt Benfica,35831,St. Jakob,Viktor Kassai,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:45 (19:45),Lille fr,0–1,it Inter,16996,Stadium Lille Métropole,Howard Webb,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:45 (19:45),Real Madrid es,4–0,fr Lyon,70028,Estadio Santiago Bernabéu,Cüneyt Çakır,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,20:45 (19:45),Dinamo Zagreb hr,0–2,nl Ajax,25714,Stadion Maksimir,Manuel Gräfe,Match Report,
2011/12,Group stage,3,Tue,2011-10-18,21:45 (19:45),Oțelul Galați ro,0–2,eng Manchester Utd,28047,Arena Națională,Felix Brych,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,19:45,Chelsea eng,5–0,be Genk,38518,Stamford Bridge,Aleksei Nikolaev,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,19:45,Porto pt,1–1,cy APOEL FC,32512,Estádio do Dragão,Antony Gautier,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,20:45 (19:45),Marseille fr,0–1,eng Arsenal,33258,Stade Vélodrome,Damir Skomina,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,20:45 (19:45),Barcelona es,2–0,cz Viktoria Plzeň,74375,Camp Nou,Aleksandar Stavrev,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,20:45 (19:45),Milan it,2–0,by BATE Borisov,66040,Stadio Giuseppe Meazza,Tom Harald Hagen,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,20:45 (19:45),Leverkusen de,2–1,es Valencia,26384,BayArena,Craig Thomson,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,21:45 (19:45),Shakhtar D. ua,2–2,ru Zenit,50578,Donbass Arena,Frank de Bleeckere,Match Report,
2011/12,Group stage,3,Wed,2011-10-19,21:45 (19:45),Olympiacos gr,3–1,de Dortmund,29638,Stadio Georgios Karaiskakis,Bas Nijhuis,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,19:45 (20:45),Arsenal eng,0–0,fr Marseille,59961,Arsenal Stadium,Paolo Tagliavento,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,20:00 (18:00),BATE Borisov by,1–1,it Milan,29100,Dinamo Stadion,Peter Rasmussen,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,20:45,Valencia es,3–1,de Leverkusen,37047,Estadi de Mestalla,Jonas Eriksson,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,20:45,Viktoria Plzeň cz,0–4,es Barcelona,20145,Eden Stadium,Robert Schörgenhofer,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,20:45,Genk be,1–1,eng Chelsea,22584,KRC Genk Arena,Svein Oddvar Moen,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,20:45,Dortmund de,1–0,gr Olympiacos,65590,BVB Stadion Dortmund,Vladislav Bezborodov,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,21:00 (18:00),Zenit ru,1–0,ua Shakhtar D.,21405,Stadion Petrovski,Stéphane Lannoy,Match Report,
2011/12,Group stage,4,Tue,2011-11-01,21:45 (20:45),APOEL FC cy,2–1,pt Porto,22301,GSP Stadium,Gianluca Rocchi,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,19:45 (20:45),Manchester Utd eng,2–0,ro Oțelul Galați,74847,Old Trafford,Marijo Strahonja,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,19:45 (20:45),Benfica pt,1–1,ch Basel,39270,Estádio do Sport Lisboa e Benfica,Velasco Carballo,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,20:45,Lyon fr,0–2,es Real Madrid,40099,Stade de Gerland,Nicola Rizzoli,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,20:45,Bayern Munich de,3–2,it Napoli,66000,Fußball Arena München,Björn Kuipers,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,20:45,Villarreal es,0–3,eng Manchester City,19358,Estadio El Madrigal,Pedro Proença,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,20:45,Ajax nl,4–0,hr Dinamo Zagreb,49707,Amsterdam ArenA,Martin Atkinson,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,20:45,Inter it,2–1,fr Lille,24299,Stadio Giuseppe Meazza,Wolfgang Stark,Match Report,
2011/12,Group stage,4,Wed,2011-11-02,21:45 (20:45),Trabzonspor tr,0–0,ru CSKA Moscow,19516,Hüseyin Avni Aker Stadyumu,Undiano Mallenco,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,19:45 (20:45),Manchester Utd eng,2–2,pt Benfica,74873,Old Trafford,Cüneyt Çakır,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,20:45,Real Madrid es,6–2,hr Dinamo Zagreb,65415,Estadio Santiago Bernabéu,Alan Kelly,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,20:45,Bayern Munich de,3–1,es Villarreal,66000,Fußball Arena München,Markus Strömbergsson,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,20:45,Napoli it,2–1,eng Manchester City,57575,Stadio San Paolo,Damir Skomina,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,20:45,Lyon fr,0–0,nl Ajax,35070,Stade de Gerland,Jonas Eriksson,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,21:00 (18:00),CSKA Moscow ru,0–2,fr Lille,19100,Stadion Luzhniki,Pavel Královec,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,21:45 (20:45),Oțelul Galați ro,2–3,ch Basel,5797,Arena Națională,Tom Harald Hagen,Match Report,
2011/12,Group stage,5,Tue,2011-11-22,21:45 (20:45),Trabzonspor tr,1–1,it Inter,21611,Hüseyin Avni Aker Stadyumu,Martin Atkinson,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,19:45 (20:45),Arsenal eng,2–1,de Dortmund,59531,Arsenal Stadium,Frank de Bleeckere,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,20:45,Leverkusen de,2–1,eng Chelsea,29285,BayArena,Viktor Kassai,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,20:45,Milan it,2–3,es Barcelona,78927,Stadio Giuseppe Meazza,Wolfgang Stark,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,20:45,Marseille fr,0–1,gr Olympiacos,25392,Stade Vélodrome,Nicola Rizzoli,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,20:45,Valencia es,7–0,be Genk,35086,Estadi de Mestalla,Tony Chapron,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,21:00 (19:00),BATE Borisov by,0–1,cz Viktoria Plzeň,26520,Dinamo Stadion,Kevin Blom,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,21:00 (18:00),Zenit ru,0–0,cy APOEL FC,21500,Stadion Petrovski,Felix Brych,Match Report,
2011/12,Group stage,5,Wed,2011-11-23,21:45 (20:45),Shakhtar D. ua,0–2,pt Porto,42565,Donbass Arena,Craig Thomson,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,19:45 (20:45),Chelsea eng,3–0,es Valencia,41109,Stamford Bridge,Gianluca Rocchi,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,19:45 (20:45),Porto pt,0–0,ru Zenit,46512,Estádio do Dragão,Velasco Carballo,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,20:45,Genk be,1–1,de Leverkusen,21187,KRC Genk Arena,Paolo Tagliavento,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,20:45,Barcelona es,4–0,by BATE Borisov,37374,Camp Nou,William Collum,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,20:45,Viktoria Plzeň cz,2–2,it Milan,19854,Stadion Eden,István Vad,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,20:45,Dortmund de,2–3,fr Marseille,65000,BVB Stadion Dortmund,Howard Webb,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,21:45 (20:45),Olympiacos gr,3–1,eng Arsenal,30816,Stadio Georgios Karaiskakis,Undiano Mallenco,Match Report,
2011/12,Group stage,6,Tue,2011-12-06,21:45 (20:45),APOEL FC cy,0–2,ua Shakhtar D.,22537,GSP Stadium,Ovidiu Haţegan,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,19:45 (20:45),Manchester City eng,2–0,de Bayern Munich,46002,City of Manchester Stadium,Stéphane Lannoy,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,19:45 (20:45),Benfica pt,1–0,ro Oțelul Galați,35155,Estádio do Sport Lisboa e Benfica,Manuel Gräfe,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Dinamo Zagreb hr,1–7,fr Lyon,16457,Stadion Maksimir,Mark Clattenburg,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Basel ch,2–1,eng Manchester Utd,36000,St. Jakob,Björn Kuipers,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Villarreal es,0–2,it Napoli,15350,Estadio El Madrigal,Svein Oddvar Moen,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Lille fr,0–0,tr Trabzonspor,16375,Stadium Lille Métropole,Pedro Proença,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Inter it,1–2,ru CSKA Moscow,23295,Stadio Giuseppe Meazza,Fernández Borbalán,Match Report,
2011/12,Group stage,6,Wed,2011-12-07,20:45,Ajax nl,0–3,es Real Madrid,51557,Amsterdam ArenA,Jorge Sousa,Match Report,
2011/12,Round of 16,,Tue,2012-02-14,20:45,Leverkusen de,1–3,es Barcelona,29400,BayArena,Craig Thomson,Match Report,Leg 1 of 2
2011/12,Round of 16,,Tue,2012-02-14,20:45,Lyon fr,1–0,cy APOEL FC,32010,Stade de Gerland,Paolo Tagliavento,Match Report,Leg 1 of 2
2011/12,Round of 16,,Wed,2012-02-15,20:45,Milan it,4–0,eng Arsenal,64462,Stadio Giuseppe Meazza,Viktor Kassai,Match Report,Leg 1 of 2
2011/12,Round of 16,,Wed,2012-02-15,21:00 (18:00),Zenit ru,3–2,pt Benfica,18200,Stadion Petrovski,Jonas Eriksson,Match Report,Leg 1 of 2
2011/12,Round of 16,,Tue,2012-02-21,20:45,Napoli it,3–1,eng Chelsea,52495,Stadio San Paolo,Velasco Carballo,Match Report,Leg 1 of 2
2011/12,Round of 16,,Tue,2012-02-21,21:00 (18:00),CSKA Moscow ru,1–1,es Real Madrid,70000,Stadion Luzhniki,Björn Kuipers,Match Report,Leg 1 of 2
2011/12,Round of 16,,Wed,2012-02-22,20:45,Basel ch,1–0,de Bayern Munich,36000,St. Jakob,Nicola Rizzoli,Match Report,Leg 1 of 2
2011/12,Round of 16,,Wed,2012-02-22,20:45,Marseille fr,1–0,it Inter,37646,Stade Vélodrome,Cüneyt Çakır,Match Report,Leg 1 of 2
2011/12,Round of 16,,Tue,2012-03-06,19:45 (20:45),Arsenal eng,3–0,it Milan,59973,Arsenal Stadium,Damir Skomina,Match Report,Leg 2 of 2; Milan won
2011/12,Round of 16,,Tue,2012-03-06,19:45 (20:45),Benfica pt,2–0,ru Zenit,48909,Estádio do Sport Lisboa e Benfica,Howard Webb,Match Report,Leg 2 of 2; Benfica won
2011/12,Round of 16,,Wed,2012-03-07,20:45,Barcelona es,7–1,de Leverkusen,75632,Camp Nou,Svein Oddvar Moen,Match Report,Leg 2 of 2; Barcelona won
2011/12,Round of 16,,Wed,2012-03-07,21:45 (20:45),APOEL FC cy,(4) 1–0 (3),fr Lyon,22701,GSP Stadium,Undiano Mallenco,Match Report,Leg 2 of 2; APOEL FC won; APOEL FC won a penalty shoot-out following extra time
2011/12,Round of 16,,Tue,2012-03-13,20:45,Bayern Munich de,7–0,ch Basel,66000,Fußball Arena München,Mark Clattenburg,Match Report,Leg 2 of 2; Bayern Munich won
2011/12,Round of 16,,Tue,2012-03-13,20:45,Inter it,2–1,fr Marseille,63632,Stadio Giuseppe Meazza,Pedro Proença,Match Report,Leg 2 of 2; Marseille won
2011/12,Round of 16,,Wed,2012-03-14,19:45 (20:45),Chelsea eng,4–1,it Napoli,37784,Stamford Bridge,Felix Brych,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2011/12,Round of 16,,Wed,2012-03-14,20:45,Real Madrid es,4–1,ru CSKA Moscow,67743,Estadio Santiago Bernabéu,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2011/12,Quarter-finals,,Tue,2012-03-27,19:45,Benfica pt,0–1,eng Chelsea,60830,Estádio do Sport Lisboa e Benfica,Paolo Tagliavento,Match Report,Leg 1 of 2
2011/12,Quarter-finals,,Tue,2012-03-27,21:45 (19:45),APOEL FC cy,0–3,es Real Madrid,22385,GSP Stadium,Felix Brych,Match Report,Leg 1 of 2
2011/12,Quarter-finals,,Wed,2012-03-28,20:45 (19:45),Milan it,0–0,es Barcelona,76169,Stadio Giuseppe Meazza,Jonas Eriksson,Match Report,Leg 1 of 2
2011/12,Quarter-finals,,Wed,2012-03-28,20:45 (19:45),Marseille fr,0–2,de Bayern Munich,31683,Stade Vélodrome,Velasco Carballo,Match Report,Leg 1 of 2
2011/12,Quarter-finals,,Tue,2012-04-03,20:45 (19:45),Barcelona es,3–1,it Milan,94629,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2011/12,Quarter-finals,,Tue,2012-04-03,20:45 (19:45),Bayern Munich de,2–0,fr Marseille,66000,Fußball Arena München,Svein Oddvar Moen,Match Report,Leg 2 of 2; Bayern Munich won
2011/12,Quarter-finals,,Wed,2012-04-04,19:45,Chelsea eng,2–1,pt Benfica,37264,Stamford Bridge,Damir Skomina,Match Report,Leg 2 of 2; Chelsea won
2011/12,Quarter-finals,,Wed,2012-04-04,20:45 (19:45),Real Madrid es,5–2,cy APOEL FC,54627,Estadio Santiago Bernabéu,Gianluca Rocchi,Match Report,Leg 2 of 2; Real Madrid won
2011/12,Semi-finals,,Tue,2012-04-17,20:45 (19:45),Bayern Munich de,2–1,es Real Madrid,66000,Fußball Arena München,Howard Webb,Match Report,Leg 1 of 2
2011/12,Semi-finals,,Wed,2012-04-18,19:45,Chelsea eng,1–0,es Barcelona,38039,Stamford Bridge,Felix Brych,Match Report,Leg 1 of 2
2011/12,Semi-finals,,Tue,2012-04-24,20:45 (19:45),Barcelona es,2–2,eng Chelsea,95845,Camp Nou,Cüneyt Çakır,Match Report,Leg 2 of 2; Chelsea won
2011/12,Semi-finals,,Wed,2012-04-25,20:45 (19:45),Real Madrid es,(1) 2–1 (3),de Bayern Munich,71654,Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Bayern Munich won; Bayern Munich won a penalty shoot-out following extra time
2011/12,Final,,Sat,2012-05-19,20:45 (19:45),Bayern Munich de,(3) 1–1 (4),eng Chelsea,62500,Fußball Arena München (Neutral Site),Pedro Proença,Match Report,Chelsea won a penalty shoot-out following extra time
