season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2011/12,Group stage,1,Tue,2011-09-13,19:45,Porto pt,2–1,ua Shakhtar D.,36612,Estádio do Dragão,Felix Brych,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,19:45,Chelsea eng,2–0,de Leverkusen,33820,Stamford Bridge,Stéphane Lannoy,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,20:45 (19:45),Barcelona es,2–2,it Milan,89861,Camp Nou,Martin Atkinson,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,20:45 (19:45),Viktoria Plzeň cz,1–1,by BATE Borisov,19541,Stadion Eden,Laurent Duhamel,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,20:45 (19:45),Genk be,0–0,es Valencia,20248,KRC Genk Arena,Thomas Einwaller,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,20:45 (19:45),Dortmund de,1–1,eng Arsenal,65590,BVB Stadion Dortmund,Gianluca Rocchi,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,21:45 (19:45),Olympiacos gr,0–1,fr Marseille,30040,Stadio Georgios Karaiskakis,Pedro Proença,Match Report,
2011/12,Group stage,1,Tue,2011-09-13,21:45 (19:45),APOEL FC cy,2–1,ru Zenit,21269,GSP Stadium,Iturralde González,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,19:45,Manchester City eng,1–1,it Napoli,44026,City of Manchester Stadium,Jonas Eriksson,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,19:45,Benfica pt,1–1,eng Manchester Utd,63822,Estádio do Sport Lisboa e Benfica,Damir Skomina,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Dinamo Zagreb hr,0–1,es Real Madrid,27055,Stadion Maksimir,Svein Oddvar Moen,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Lille fr,2–2,ru CSKA Moscow,15274,Stadium Lille Métropole,Olegário Benquerença,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Inter it,0–1,tr Trabzonspor,24444,Stadio Giuseppe Meazza,Stefan Johannesson,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Basel ch,2–1,ro Oțelul Galați,30126,St. Jakob,William Collum,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Ajax nl,0–0,fr Lyon,49504,Amsterdam ArenA,Wolfgang Stark,Match Report,
2011/12,Group stage,1,Wed,2011-09-14,20:45 (19:45),Villarreal es,0–2,de Bayern Munich,19168,Estadio El Madrigal,Cüneyt Çakır,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,19:45,Manchester Utd eng,3–3,ch Basel,73115,Old Trafford,Paolo Tagliavento,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,20:00 (17:00),CSKA Moscow ru,2–3,it Inter,35000,Stadion Luzhniki,Craig Thomson,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,20:45 (19:45),Napoli it,2–0,es Villarreal,46747,Stadio San Paolo,Frank de Bleeckere,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,20:45 (19:45),Lyon fr,2–0,hr Dinamo Zagreb,34432,Stade de Gerland,Pavel Královec,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,20:45 (19:45),Bayern Munich de,2–0,eng Manchester City,66000,Fußball Arena München,Viktor Kassai,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,20:45 (19:45),Real Madrid es,3–0,nl Ajax,70320,Estadio Santiago Bernabéu,Mark Clattenburg,Match Report,
2011/12,Group stage,2,Tue,2011-09-27,21:45 (19:45),Oțelul Galați ro,0–1,pt Benfica,6824,Arena Națională,Fernández Borbalán,Match Report,
