season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012/13,Group stage,1,Wed,2012-09-19,21:45 (19:45),Shakhtar D. ua,2–0,dk Nordsjælland,45816,Donbass Arena,Pawel Gil,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,19:45,Benfica pt,0–2,es Barcelona,63847,Estádio do Sport Lisboa e Benfica,Cüneyt Çakır,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,20:00 (17:00),Spartak Moscow ru,2–3,sct Celtic,43351,Stadion Luzhniki,Tony Chapron,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,20:45 (19:45),Nordsjælland dk,0–4,eng Chelsea,25120,Telia Parken,Marijo Strahonja,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,20:45 (19:45),Juventus it,1–1,ua Shakhtar D.,25599,Juventus Stadium,Bas Nijhuis,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,20:45 (19:45),Valencia es,2–0,fr Lille,28517,Estadi de Mestalla,Gianluca Rocchi,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,21:45 (19:45),BATE Borisov by,3–1,de Bayern Munich,24636,Dinamo Stadion,Aleksandar Stavrev,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,21:45 (19:45),Galatasaray tr,0–2,pt Braga,46987,Ali Sami Yen Spor Kompleksi,Tom Harald Hagen,Match Report,
2012/13,Group stage,2,Tue,2012-10-02,21:45 (19:45),CFR Cluj ro,1–2,eng Manchester Utd,16259,Stadionul Dr. Constantin Rădulescu,Undiano Mallenco,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,19:45,Porto pt,1–0,fr Paris SG,36509,Estádio do Dragão,Howard Webb,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,19:45,Manchester City eng,1–1,de Dortmund,43657,City of Manchester Stadium,Pavel Královec,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,19:45,Arsenal eng,3–1,gr Olympiacos,60034,Arsenal Stadium,Svein Oddvar Moen,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,20:00 (17:00),Zenit ru,2–3,it Milan,21570,Stadion Petrovski,Felix Brych,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,20:45 (19:45),Ajax nl,1–4,es Real Madrid,49491,Amsterdam ArenA,Jonas Eriksson,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,20:45 (19:45),Anderlecht be,0–3,es Málaga,15711,Constant Vanden Stock Stadium,Viktor Kassai,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,20:45 (19:45),Schalke 04 de,2–2,fr Montpellier,50004,Arena AufSchalke,Sergei Karasev,Match Report,
2012/13,Group stage,2,Wed,2012-10-03,21:45 (19:45),Dynamo Kyiv ua,2–0,hr Dinamo Zagreb,47804,NSK Olimpiyskyi,Martin Atkinson,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,19:45,Manchester Utd eng,3–2,pt Braga,73195,Old Trafford,Milorad Mažić,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,20:00 (17:00),Spartak Moscow ru,2–1,pt Benfica,41237,Stadion Luzhniki,Mark Clattenburg,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,20:45 (19:45),Nordsjælland dk,1–1,it Juventus,22404,Telia Parken,Deniz Aytekin,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,20:45 (19:45),Barcelona es,2–1,sct Celtic,77781,Camp Nou,Gianluca Rocchi,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,20:45 (19:45),Lille fr,0–1,de Bayern Munich,45259,Stadium Lille Métropole,Martin Atkinson,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,21:45 (19:45),Shakhtar D. ua,2–1,eng Chelsea,51435,Donbass Arena,Damir Skomina,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,21:45 (19:45),BATE Borisov by,0–3,es Valencia,29180,Dinamo Stadion,Craig Thomson,Match Report,
2012/13,Group stage,3,Tue,2012-10-23,21:45 (19:45),Galatasaray tr,1–1,ro CFR Cluj,39013,Ali Sami Yen Spor Kompleksi,Paolo Tagliavento,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,19:45,Arsenal eng,0–2,de Schalke 04,60049,Arsenal Stadium,Jonas Eriksson,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,19:45,Porto pt,3–2,ua Dynamo Kyiv,29317,Estádio do Dragão,Pavel Královec,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:00 (17:00),Zenit ru,1–0,be Anderlecht,19500,Stadion Petrovski,Ivan Bebek,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:45 (19:45),Málaga es,1–0,it Milan,27683,La Rosaleda,Pedro Proença,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:45 (19:45),Dortmund de,2–1,es Real Madrid,65829,BVB Stadion Dortmund,Viktor Kassai,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:45 (19:45),Montpellier fr,1–2,gr Olympiacos,22843,Stade de la Mosson,Daniele Orsato,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:45 (19:45),Dinamo Zagreb hr,0–2,fr Paris SG,9326,Stadion Maksimir,Fırat Aydınus,Match Report,
2012/13,Group stage,3,Wed,2012-10-24,20:45 (19:45),Ajax nl,3–1,eng Manchester City,45743,Amsterdam ArenA,Svein Oddvar Moen,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,19:45 (20:45),Manchester City eng,2–2,nl Ajax,40222,City of Manchester Stadium,Peter Rasmussen,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,20:45,Schalke 04 de,2–2,eng Arsenal,54142,Arena AufSchalke,Nicola Rizzoli,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,20:45,Real Madrid es,2–2,de Dortmund,74932,Estadio Santiago Bernabéu,Cüneyt Çakır,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,20:45,Paris SG fr,4–0,hr Dinamo Zagreb,41060,Parc des Princes,Pawel Gil,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,20:45,Milan it,1–1,es Málaga,30891,Stadio Giuseppe Meazza,Howard Webb,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,20:45,Anderlecht be,1–0,ru Zenit,16437,Constant Vanden Stock Stadium,Antony Gautier,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,21:45 (20:45),Olympiacos gr,3–1,fr Montpellier,28217,Stadio Georgios Karaiskakis,Marijo Strahonja,Match Report,
2012/13,Group stage,4,Tue,2012-11-06,21:45 (20:45),Dynamo Kyiv ua,0–0,pt Porto,40370,NSK Olimpiyskyi,Undiano Mallenco,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,19:45 (20:45),Benfica pt,2–0,ru Spartak Moscow,36468,Estádio do Sport Lisboa e Benfica,Florian Meyer,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,19:45 (20:45),Celtic sct,2–1,es Barcelona,58841,Celtic Park,Björn Kuipers,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,19:45 (20:45),Chelsea eng,3–2,ua Shakhtar D.,41067,Stamford Bridge,Velasco Carballo,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,19:45 (20:45),Braga pt,1–3,eng Manchester Utd,15388,Estádio Municipal de Braga,Felix Brych,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,20:45,Bayern Munich de,6–1,fr Lille,68000,Fußball Arena München,Ovidiu Haţegan,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,20:45,Juventus it,4–0,dk Nordsjælland,31366,Juventus Stadium,Aleksandar Stavrev,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,20:45,Valencia es,4–2,by BATE Borisov,22795,Estadi de Mestalla,Tom Harald Hagen,Match Report,
2012/13,Group stage,4,Wed,2012-11-07,21:45 (20:45),CFR Cluj ro,1–3,tr Galatasaray,16232,Stadionul Dr. Constantin Rădulescu,William Collum,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,19:45 (20:45),Benfica pt,2–1,sct Celtic,47065,Estádio do Sport Lisboa e Benfica,Viktor Kassai,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,20:00 (18:00),BATE Borisov by,0–2,fr Lille,22800,Dinamo Stadion,Marijo Strahonja,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,20:45,Juventus it,3–0,eng Chelsea,39670,Juventus Stadium,Cüneyt Çakır,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,20:45,Nordsjælland dk,2–5,ua Shakhtar D.,17054,Telia Parken,Antony Gautier,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,20:45,Valencia es,1–1,de Bayern Munich,35407,Estadi de Mestalla,Howard Webb,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,21:00 (18:00),Spartak Moscow ru,0–3,es Barcelona,67325,Stadion Luzhniki,Ivan Bebek,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,21:45 (20:45),CFR Cluj ro,3–1,pt Braga,14635,Stadionul Dr. Constantin Rădulescu,Sergei Karasev,Match Report,
2012/13,Group stage,5,Tue,2012-11-20,21:45 (20:45),Galatasaray tr,1–0,eng Manchester Utd,50278,Ali Sami Yen Spor Kompleksi,Velasco Carballo,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,19:45 (20:45),Porto pt,3–0,hr Dinamo Zagreb,27603,Estádio do Dragão,Paolo Tagliavento,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,19:45 (20:45),Arsenal eng,2–0,fr Montpellier,59760,Arsenal Stadium,Fırat Aydınus,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,19:45 (20:45),Manchester City eng,1–1,es Real Madrid,45740,City of Manchester Stadium,Gianluca Rocchi,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,20:45,Schalke 04 de,1–0,gr Olympiacos,52254,Arena AufSchalke,Björn Kuipers,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,20:45,Ajax nl,1–4,de Dortmund,47500,Amsterdam ArenA,Pedro Proença,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,20:45,Anderlecht be,1–3,it Milan,19803,Constant Vanden Stock Stadium,Damir Skomina,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,21:00 (18:00),Zenit ru,2–2,es Málaga,18347,Stadion Petrovski,Olegário Benquerença,Match Report,
2012/13,Group stage,5,Wed,2012-11-21,21:45 (20:45),Dynamo Kyiv ua,0–2,fr Paris SG,36712,NSK Olimpiyskyi,Wolfgang Stark,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Paris SG fr,2–1,pt Porto,45512,Parc des Princes,Craig Thomson,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Dinamo Zagreb hr,1–1,ua Dynamo Kyiv,3663,Stadion Maksimir,Stanislav Todorov,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Málaga es,2–2,be Anderlecht,21769,La Rosaleda,Deniz Aytekin,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Milan it,0–1,ru Zenit,29508,Stadio Giuseppe Meazza,Tony Chapron,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Dortmund de,1–0,eng Manchester City,65829,BVB Stadion Dortmund,Milorad Mažić,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Montpellier fr,1–1,de Schalke 04,23142,Stade de la Mosson,Mateu Lahoz,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,20:45,Real Madrid es,4–1,nl Ajax,57245,Estadio Santiago Bernabéu,Pavel Královec,Match Report,
2012/13,Group stage,6,Tue,2012-12-04,21:45 (20:45),Olympiacos gr,2–1,eng Arsenal,28128,Stadio Georgios Karaiskakis,Undiano Mallenco,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,19:45 (20:45),Braga pt,1–2,tr Galatasaray,8964,Estádio Municipal de Braga,Nicola Rizzoli,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,19:45 (20:45),Celtic sct,2–1,ru Spartak Moscow,59168,Celtic Park,Felix Brych,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,19:45 (20:45),Chelsea eng,6–1,dk Nordsjælland,40048,Stamford Bridge,Bas Nijhuis,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,19:45 (20:45),Manchester Utd eng,0–1,ro CFR Cluj,71521,Old Trafford,Daniele Orsato,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,20:45,Lille fr,0–1,es Valencia,40036,Stadium Lille Métropole,Aleksandar Stavrev,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,20:45,Bayern Munich de,4–1,by BATE Borisov,68000,Fußball Arena München,William Collum,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,20:45,Barcelona es,0–0,pt Benfica,50659,Camp Nou,Svein Oddvar Moen,Match Report,
2012/13,Group stage,6,Wed,2012-12-05,21:45 (20:45),Shakhtar D. ua,0–1,it Juventus,50104,Donbass Arena,Jonas Eriksson,Match Report,
2012/13,Round of 16,,Tue,2013-02-12,19:45 (20:45),Celtic sct,0–3,it Juventus,57917,Celtic Park,Undiano Mallenco,Match Report,Leg 1 of 2
2012/13,Round of 16,,Tue,2013-02-12,20:45,Valencia es,1–2,fr Paris SG,36000,Estadi de Mestalla,Paolo Tagliavento,Match Report,Leg 1 of 2
2012/13,Round of 16,,Wed,2013-02-13,20:45,Real Madrid es,1–1,eng Manchester Utd,79429,Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 1 of 2
2012/13,Round of 16,,Wed,2013-02-13,21:45 (20:45),Shakhtar D. ua,2–2,de Dortmund,49050,Donbass Arena,Howard Webb,Match Report,Leg 1 of 2
2012/13,Round of 16,,Tue,2013-02-19,19:45 (20:45),Arsenal eng,1–3,de Bayern Munich,59974,Arsenal Stadium,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012/13,Round of 16,,Tue,2013-02-19,19:45 (20:45),Porto pt,1–0,es Málaga,42209,Estádio do Dragão,Mark Clattenburg,Match Report,Leg 1 of 2
2012/13,Round of 16,,Wed,2013-02-20,20:45,Milan it,2–0,es Barcelona,75932,Stadio Giuseppe Meazza,Craig Thomson,Match Report,Leg 1 of 2
2012/13,Round of 16,,Wed,2013-02-20,21:45 (20:45),Galatasaray tr,1–1,de Schalke 04,50734,Ali Sami Yen Spor Kompleksi,William Collum,Match Report,Leg 1 of 2
2012/13,Round of 16,,Tue,2013-03-05,19:45 (20:45),Manchester Utd eng,1–2,es Real Madrid,74959,Old Trafford,Cüneyt Çakır,Match Report,Leg 2 of 2; Real Madrid won
2012/13,Round of 16,,Tue,2013-03-05,20:45,Dortmund de,3–0,ua Shakhtar D.,65413,BVB Stadion Dortmund,Damir Skomina,Match Report,Leg 2 of 2; Dortmund won
2012/13,Round of 16,,Wed,2013-03-06,20:45,Paris SG fr,1–1,es Valencia,44867,Parc des Princes,Milorad Mažić,Match Report,Leg 2 of 2; Paris SG won
2012/13,Round of 16,,Wed,2013-03-06,20:45,Juventus it,2–0,sct Celtic,39011,Juventus Stadium,Fırat Aydınus,Match Report,Leg 2 of 2; Juventus won
2012/13,Round of 16,,Tue,2013-03-12,20:45,Schalke 04 de,2–3,tr Galatasaray,54142,Arena AufSchalke,Jonas Eriksson,Match Report,Leg 2 of 2; Galatasaray won
2012/13,Round of 16,,Tue,2013-03-12,20:45,Barcelona es,4–0,it Milan,94944,Camp Nou,Viktor Kassai,Match Report,Leg 2 of 2; Barcelona won
2012/13,Round of 16,,Wed,2013-03-13,20:45,Málaga es,2–0,pt Porto,27451,La Rosaleda,Nicola Rizzoli,Match Report,Leg 2 of 2; Málaga won
2012/13,Round of 16,,Wed,2013-03-13,20:45,Bayern Munich de,0–2,eng Arsenal,68000,Fußball Arena München,Pavel Královec,Match Report,Leg 2 of 2; Bayern Munich won
2012/13,Quarter-finals,,Tue,2013-04-02,20:45 (19:45),Paris SG fr,2–2,es Barcelona,45336,Parc des Princes,Wolfgang Stark,Match Report,Leg 1 of 2
2012/13,Quarter-finals,,Tue,2013-04-02,20:45 (19:45),Bayern Munich de,2–0,it Juventus,68000,Fußball Arena München,Mark Clattenburg,Match Report,Leg 1 of 2
2012/13,Quarter-finals,,Wed,2013-04-03,20:45 (19:45),Málaga es,0–0,de Dortmund,28548,La Rosaleda,Jonas Eriksson,Match Report,Leg 1 of 2
2012/13,Quarter-finals,,Wed,2013-04-03,20:45 (19:45),Real Madrid es,3–0,tr Galatasaray,76462,Estadio Santiago Bernabéu,Svein Oddvar Moen,Match Report,Leg 1 of 2
2012/13,Quarter-finals,,Tue,2013-04-09,20:45 (19:45),Dortmund de,3–2,es Málaga,65829,BVB Stadion Dortmund,Craig Thomson,Match Report,Leg 2 of 2; Dortmund won
2012/13,Quarter-finals,,Tue,2013-04-09,21:45 (19:45),Galatasaray tr,3–2,es Real Madrid,49975,Ali Sami Yen Spor Kompleksi,Stéphane Lannoy,Match Report,Leg 2 of 2; Real Madrid won
2012/13,Quarter-finals,,Wed,2013-04-10,20:45 (19:45),Barcelona es,1–1,fr Paris SG,96022,Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Barcelona won
2012/13,Quarter-finals,,Wed,2013-04-10,20:45 (19:45),Juventus it,0–2,de Bayern Munich,40823,Juventus Stadium,Velasco Carballo,Match Report,Leg 2 of 2; Bayern Munich won
2012/13,Semi-finals,,Tue,2013-04-23,20:45 (19:45),Bayern Munich de,4–0,es Barcelona,68000,Fußball Arena München,Viktor Kassai,Match Report,Leg 1 of 2
2012/13,Semi-finals,,Wed,2013-04-24,20:45 (19:45),Dortmund de,4–1,es Real Madrid,65829,BVB Stadion Dortmund,Björn Kuipers,Match Report,Leg 1 of 2
2012/13,Semi-finals,,Tue,2013-04-30,20:45 (19:45),Real Madrid es,2–0,de Dortmund,79429,Estadio Santiago Bernabéu,Howard Webb,Match Report,Leg 2 of 2; Dortmund won
2012/13,Semi-finals,,Wed,2013-05-01,20:45 (19:45),Barcelona es,0–3,de Bayern Munich,95877,Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Bayern Munich won
2012/13,Final,,Sat,2013-05-25,19:45,Dortmund de,1–2,de Bayern Munich,86298,Wembley Stadium (Neutral Site),Nicola Rizzoli,Match Report,
