season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Málaga es,3–0,ru Zenit,23670,La Rosaleda,Mark Clattenburg,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Dinamo Zagreb hr,0–2,pt Porto,4683,Stadion Maksimir,Daniele Orsato,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Montpellier fr,1–2,eng Arsenal,27522,Stade de la Mosson,Velasco Carballo,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Real Madrid es,3–2,eng Manchester City,70381,Estadio Santiago Bernabéu,Damir Skomina,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Paris SG fr,4–1,ua Dynamo Kyiv,42536,Parc des Princes,Björn Kuipers,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Dortmund de,1–0,nl Ajax,65829,BVB Stadion Dortmund,Paolo Tagliavento,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,20:45 (19:45),Milan it,0–0,be Anderlecht,27593,Stadio Giuseppe Meazza,William Collum,Match Report,
2012/13,Group stage,1,Tue,2012-09-18,21:45 (19:45),Olympiacos gr,1–2,de Schalke 04,30363,Stadio Georgios Karaiskakis,Fernández Borbalán,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,19:45,Celtic sct,0–0,pt Benfica,57759,Celtic Park,Nicola Rizzoli,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,19:45,Chelsea eng,2–2,it Juventus,40918,Stamford Bridge,Pedro Proença,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,19:45,Manchester Utd eng,1–0,tr Galatasaray,74653,Old Trafford,Wolfgang Stark,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,19:45,Braga pt,0–2,ro CFR Cluj,10922,Estádio Municipal de Braga,Peter Rasmussen,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,20:45 (19:45),Bayern Munich de,2–1,es Valencia,68000,Fußball Arena München,Fırat Aydınus,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,20:45 (19:45),Barcelona es,3–2,ru Spartak Moscow,73580,Camp Nou,Milorad Mažić,Match Report,
2012/13,Group stage,1,Wed,2012-09-19,20:45 (19:45),Lille fr,1–3,by BATE Borisov,38122,Stadium Lille Métropole,Marcin Borski,Match Report,
