season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2020-21,Group stage,1,Tue,2020-10-20,19:55 (17:55),Zenit ru,1–2,be Club Brugge,16682,Gazprom Arena,Benoît Bastien,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,19:55 (17:55),Dynamo Kyiv ua,0–2,it Juventus,14850,NSK Olimpijs'kyj,Ovidiu Hațegan,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,20:00,Chelsea eng,0–0,es Sevilla,,Stamford Bridge,Davide Massa,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,21:00 (20:00),Barcelona es,5–1,hu Ferencváros,,Camp Nou,Sandro Schärer,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,21:00 (20:00),RB Leipzig de,2–0,tr Başakşehir,999,Red Bull Arena,Jesús Gil,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,21:00 (20:00),Rennes fr,1–1,ru Krasnodar,4973,Roazhon Park,Anastasios Sidiropoulos,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,21:00 (20:00),Paris SG fr,1–2,eng Manchester Utd,,Parc des Princes,Antonio Matéu Lahoz,Match Report,
2020-21,Group stage,1,Tue,2020-10-20,21:00,Lazio it,3–1,de Dortmund,1000,Stadio Olimpico,Clément Turpin,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,18:55 (17:55),Real Madrid es,2–3,ua Shakhtar D.,,Estadio Alfredo Di Stéfano,Srđan Jovanović,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,18:55 (17:55),RB Salzburg at,2–2,ru Loko Moscow,3000,Red Bull Arena,Serdar Gözübüyük,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,20:00,Manchester City eng,3–1,pt Porto,,Etihad Stadium,Andris Treimanis,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,21:00 (20:00),Bayern Munich de,4–0,es Atlético Madrid,,Allianz Arena,Michael Oliver,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,21:00 (20:00),Inter it,2–2,de Gladbach,1000,Stadio Giuseppe Meazza,Björn Kuipers,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,21:00,Ajax nl,0–1,eng Liverpool,,Johan Cruyff ArenA,Felix Brych,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,21:00,Midtjylland dk,0–4,it Atalanta,132,MCH Arena,Artur Soares Dias,Match Report,
2020-21,Group stage,1,Wed,2020-10-21,22:00 (20:00),Olympiacos gr,1–0,fr Marseille,,Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,19:55 (18:55),Shakhtar D. ua,0–0,it Inter,10178,Oblasny SportKomplex Metalist,Georgi Kabakov,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,20:00 (21:00),Liverpool eng,2–0,dk Midtjylland,,Anfield,Paweł Raczkowski,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,20:00 (21:00),Porto pt,2–0,gr Olympiacos,2450,Estádio Do Dragão,Daniel Siebert,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,20:55 (18:55),Loko Moscow ru,1–2,de Bayern Munich,8196,RZD Arena,István Kovács,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,21:00,Marseille fr,0–3,eng Manchester City,,Orange Vélodrome,Tobias Stieler,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,21:00,Atalanta it,2–2,nl Ajax,,Stadio Atleti Azzurri d'Italia,Damir Skomina,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,21:00,Atlético Madrid es,3–2,at RB Salzburg,,Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,
2020-21,Group stage,2,Tue,2020-10-27,21:00,Gladbach de,2–2,es Real Madrid,,Stadion im Borussia-Park,Orel Grinfeeld,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,20:00 (21:00),Manchester Utd eng,5–0,de RB Leipzig,577,Old Trafford,Matej Jug,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,20:55 (18:55),Krasnodar ru,0–4,eng Chelsea,10544,Krasnodar Stadium,Ali Palabıyık,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,20:55 (18:55),Başakşehir tr,0–2,fr Paris SG,350,Başakşehir Fatih Terim Stadium,Andreas Ekberg,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,21:00,Dortmund de,2–0,ru Zenit,,Signal Iduna Park,Björn Kuipers,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,21:00,Club Brugge be,1–1,it Lazio,,Jan Breydelstadion,Anthony Taylor,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,21:00,Sevilla es,1–0,fr Rennes,,Estadio Ramón Sánchez Pizjuán,Cüneyt Çakιr,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,21:00,Ferencváros hu,2–2,ua Dynamo Kyiv,6171,Groupama Arena,Ivan Kružliak,Match Report,
2020-21,Group stage,2,Wed,2020-10-28,21:00,Juventus it,0–2,es Barcelona,,Allianz Stadium,Danny Makkelie,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,19:55 (18:55),Shakhtar D. ua,0–6,de Gladbach,,Oblasny SportKomplex Metalist,Serdar Gözübüyük,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,20:00 (21:00),Porto pt,3–0,fr Marseille,,Estádio Do Dragão,Antonio Matéu Lahoz,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,20:00 (21:00),Manchester City eng,3–0,gr Olympiacos,,Etihad Stadium,Carlos del Cerro,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,20:55 (18:55),Loko Moscow ru,1–1,es Atlético Madrid,8147,RZD Arena,Benoît Bastien,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,21:00,RB Salzburg at,2–6,de Bayern Munich,,Red Bull Arena,Danny Makkelie,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,21:00,Midtjylland dk,1–2,nl Ajax,132,MCH Arena,Bobby Madden,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,21:00,Real Madrid es,3–2,it Inter,,Estadio Alfredo Di Stéfano,Clément Turpin,Match Report,
2020-21,Group stage,3,Tue,2020-11-03,21:00,Atalanta it,0–5,eng Liverpool,,Stadio Atleti Azzurri d'Italia,Ovidiu Hațegan,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,20:00 (21:00),Chelsea eng,3–0,fr Rennes,,Stamford Bridge,Felix Zwayer,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,20:55 (18:55),Başakşehir tr,2–1,eng Manchester Utd,350,Başakşehir Fatih Terim Stadium,Davide Massa,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,20:55 (18:55),Zenit ru,1–1,it Lazio,17427,Gazprom Arena,Artur Soares Dias,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,21:00,Sevilla es,3–2,ru Krasnodar,,Estadio Ramón Sánchez Pizjuán,Felix Brych,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,21:00,Club Brugge be,0–3,de Dortmund,,Jan Breydelstadion,Damir Skomina,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,21:00,Ferencváros hu,1–4,it Juventus,18531,Puskás Aréna,Orel Grinfeeld,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,21:00,Barcelona es,2–1,ua Dynamo Kyiv,,Camp Nou,Michael Oliver,Match Report,
2020-21,Group stage,3,Wed,2020-11-04,21:00,RB Leipzig de,2–1,fr Paris SG,,Red Bull Arena,Szymon Marciniak,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,18:55,Rennes fr,1–2,eng Chelsea,,Roazhon Park,Björn Kuipers,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,20:00 (21:00),Manchester Utd eng,4–1,tr Başakşehir,545,Old Trafford,Ovidiu Hațegan,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,20:55 (18:55),Krasnodar ru,1–2,es Sevilla,10554,Krasnodar Stadium,Marco Guida,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,21:00,Lazio it,3–1,ru Zenit,,Stadio Olimpico,Michael Oliver,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,21:00,Paris SG fr,1–0,de RB Leipzig,,Parc des Princes,Danny Makkelie,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,21:00,Dortmund de,3–0,be Club Brugge,,Signal Iduna Park,Ivan Kružliak,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,21:00,Juventus it,2–1,hu Ferencváros,,Allianz Stadium,Daniel Siebert,Match Report,
2020-21,Group stage,4,Tue,2020-11-24,22:00 (21:00),Dynamo Kyiv ua,0–4,es Barcelona,,NSK Olimpijs'kyj,Matej Jug,Match Report,
2020-21,Group stage,4,Wed,2020-11-25,18:55,Gladbach de,4–0,ua Shakhtar D.,,Stadion im Borussia-Park,Cüneyt Çakιr,Match Report,
2020-21,Group stage,4,Wed,2020-11-25,19:55 (18:55),Olympiacos gr,0–1,eng Manchester City,,Stadio Georgios Karaiskáki,Davide Massa,Match Report,
2020-21,Group stage,4,Wed,2020-11-25,20:00 (21:00),Liverpool eng,0–2,it Atalanta,,Anfield,Carlos del Cerro,Match Report,
2020-21,Group stage,4,Wed,2020-11-25,21:00,Marseille fr,0–2,pt Porto,,Orange Vélodrome,Andreas Ekberg,Match Report,
