season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2010/11,Group stage,1,Tue,2010-09-14,19:45,Manchester Utd eng,0–0,sct Rangers,74408,Old Trafford,Olegário Benquerença,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,19:45,Benfica pt,2–0,il Hapoel Tel Aviv,31512,Estádio do Sport Lisboa e Benfica,Aleksei Nikolaev,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,20:45 (19:45),Lyon fr,1–0,de Schalke 04,35552,Stade de Gerland,Ivan Bebek,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,20:45 (19:45),FC Copenhagen dk,1–0,ru Rubin Kazan,29561,Telia Parken,Thomas Einwaller,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,20:45 (19:45),Barcelona es,5–1,gr Panathinaikos,69738,Camp Nou,Nicola Rizzoli,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,20:45 (19:45),Twente nl,2–2,it Inter,23800,FC Twente Stadion,Pedro Proença,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,20:45 (19:45),Werder Bremen de,2–2,eng Tottenham,30344,Weserstadion,Massimo Busacca,Match Report,
2010/11,Group stage,1,Tue,2010-09-14,21:45 (19:45),Bursaspor tr,0–4,es Valencia,22055,Bursa Atatürk,Svein Oddvar Moen,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,19:45,Arsenal eng,6–0,pt Braga,59333,Arsenal Stadium,Alain Hamer,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,20:45 (19:45),Real Madrid es,2–0,nl Ajax,69639,Estadio Santiago Bernabéu,Damir Skomina,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,20:45 (19:45),MŠK Žilina sk,1–4,eng Chelsea,10829,Štadión MŠK Žilina,Björn Kuipers,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,20:45 (19:45),Marseille fr,0–1,ru Spartak Moscow,45729,Stade Vélodrome,Florian Meyer,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,20:45 (19:45),Bayern Munich de,2–0,it Roma,66000,Fußball Arena München,Stéphane Lannoy,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,20:45 (19:45),Milan it,2–0,fr Auxerre,69317,Stadio Giuseppe Meazza,Cristian Balaj,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,21:45 (19:45),Shakhtar D. ua,1–0,rs Partizan,48512,Donbass Arena,Velasco Carballo,Match Report,
2010/11,Group stage,1,Wed,2010-09-15,21:45 (19:45),CFR Cluj ro,2–1,ch Basel,9593,Stadionul Dr. Constantin Rădulescu,Alan Kelly,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,19:45,Chelsea eng,2–0,fr Marseille,40675,Stamford Bridge,Frank de Bleeckere,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,19:45,Braga pt,0–3,ua Shakhtar D.,12083,Estádio Municipal de Braga,Kevin Blom,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:30 (17:30),Spartak Moscow ru,3–0,sk MŠK Žilina,37000,Stadion Luzhniki,Martin Hansson,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:45 (19:45),Basel ch,1–2,de Bayern Munich,37500,St. Jakob,Craig Thomson,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:45 (19:45),Ajax nl,1–1,it Milan,51276,Amsterdam ArenA,Felix Brych,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:45 (19:45),Auxerre fr,0–1,es Real Madrid,19525,Stade Abbé,Claus Bo Larsen,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:45 (19:45),Partizan rs,1–3,eng Arsenal,29348,Stadion FK Partizan,Wolfgang Stark,Match Report,
2010/11,Group stage,2,Tue,2010-09-28,20:45,Roma it,2–1,ro CFR Cluj,30252,Stadio Olimpico,Jonas Eriksson,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,19:45,Rangers sct,1–0,tr Bursaspor,41905,Ibrox Stadium,Serge Gumienny,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,19:45,Tottenham eng,4–1,nl Twente,32518,White Hart Lane,Terje Hauge,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,20:30 (17:30),Rubin Kazan ru,1–1,es Barcelona,23950,Centralniy Stadion,Cüneyt Çakır,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,20:45 (19:45),Hapoel Tel Aviv il,1–3,fr Lyon,12226,Bloomfield,Howard Webb,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,20:45 (19:45),Inter it,4–0,de Werder Bremen,48126,Stadio Giuseppe Meazza,Undiano Mallenco,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,20:45 (19:45),Schalke 04 de,2–0,pt Benfica,50436,Arena AufSchalke,Gianluca Rocchi,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,20:45 (19:45),Valencia es,0–1,eng Manchester Utd,34946,Estadi de Mestalla,Viktor Kassai,Match Report,
2010/11,Group stage,2,Wed,2010-09-29,21:45 (19:45),Panathinaikos gr,0–2,dk FC Copenhagen,43607,OAKA Spiros Louis,William Collum,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,19:45,Arsenal eng,5–1,ua Shakhtar D.,60016,Arsenal Stadium,Svein Oddvar Moen,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,19:45,Braga pt,2–0,rs Partizan,11454,Estádio Municipal de Braga,Laurent Duhamel,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:30 (17:30),Spartak Moscow ru,0–2,eng Chelsea,70012,Stadion Luzhniki,Velasco Carballo,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:45 (19:45),Marseille fr,1–0,sk MŠK Žilina,49250,Stade Vélodrome,István Vad,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:45 (19:45),Real Madrid es,2–0,it Milan,71657,Estadio Santiago Bernabéu,Pedro Proença,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:45 (19:45),Ajax nl,2–1,fr Auxerre,51383,Amsterdam ArenA,Olegário Benquerença,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:45,Roma it,1–3,ch Basel,22365,Stadio Olimpico,Aleksei Nikolaev,Match Report,
2010/11,Group stage,3,Tue,2010-10-19,20:45,Bayern Munich de,3–2,ro CFR Cluj,64000,Fußball Arena München,Martin Atkinson,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,19:45,Manchester Utd eng,1–0,tr Bursaspor,72610,Old Trafford,Gianluca Rocchi,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,19:45,Rangers sct,1–1,es Valencia,45153,Ibrox Stadium,Nicola Rizzoli,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,20:45 (19:45),Barcelona es,2–0,dk FC Copenhagen,75852,Camp Nou,Stéphane Lannoy,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,20:45 (19:45),Lyon fr,2–0,pt Benfica,36816,Stade de Gerland,Undiano Mallenco,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,20:45 (19:45),Schalke 04 de,3–1,il Hapoel Tel Aviv,50900,Arena AufSchalke,William Collum,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,20:45 (19:45),Inter it,4–3,eng Tottenham,49551,Stadio Giuseppe Meazza,Damir Skomina,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,20:45 (19:45),Twente nl,1–1,de Werder Bremen,24000,FC Twente Stadion,Claus Bo Larsen,Match Report,
2010/11,Group stage,3,Wed,2010-10-20,21:45 (19:45),Panathinaikos gr,0–0,ru Rubin Kazan,36748,OAKA Spiros Louis,Manuel Gräfe,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,19:45 (20:45),Tottenham eng,3–1,it Inter,34103,White Hart Lane,Viktor Kassai,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,19:45 (20:45),Benfica pt,4–3,fr Lyon,37394,Estádio do Sport Lisboa e Benfica,Craig Thomson,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,20:30 (18:30),Rubin Kazan ru,0–0,gr Panathinaikos,16400,Centralniy Stadion,Tony Chapron,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,20:45,Werder Bremen de,0–2,nl Twente,29641,Weserstadion,Alain Hamer,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,20:45,FC Copenhagen dk,1–1,es Barcelona,37049,Telia Parken,Cristian Balaj,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,20:45,Valencia es,3–0,sct Rangers,26821,Estadi de Mestalla,Felix Brych,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,21:45 (20:45),Bursaspor tr,0–3,eng Manchester Utd,19050,Bursa Atatürk,Wolfgang Stark,Match Report,
2010/11,Group stage,4,Tue,2010-11-02,21:45 (20:45),Hapoel Tel Aviv il,0–0,de Schalke 04,12132,Bloomfield,Frank de Bleeckere,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,19:45 (20:45),Chelsea eng,4–1,ru Spartak Moscow,40477,Stamford Bridge,Cüneyt Çakır,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,20:45,MŠK Žilina sk,0–7,fr Marseille,9664,Štadión MŠK Žilina,Stefan Johannesson,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,20:45,Milan it,2–2,es Real Madrid,76357,Stadio Giuseppe Meazza,Howard Webb,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,20:45,Partizan rs,0–1,pt Braga,28295,Stadion FK Partizan,Martin Hansson,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,20:45,Auxerre fr,2–1,nl Ajax,18727,Stade Abbé,Mark Clattenburg,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,20:45,Basel ch,2–3,it Roma,36375,St. Jakob,Björn Kuipers,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,21:45 (20:45),Shakhtar D. ua,2–1,eng Arsenal,51153,Donbass Arena,Massimo Busacca,Match Report,
2010/11,Group stage,4,Wed,2010-11-03,21:45 (20:45),CFR Cluj ro,0–4,de Bayern Munich,14097,Stadionul Dr. Constantin Rădulescu,Serge Gumienny,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,19:45 (20:45),Chelsea eng,2–1,sk MŠK Žilina,40266,Stamford Bridge,Robert Schörgenhofer,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,19:45 (20:45),Braga pt,2–0,eng Arsenal,14809,Estádio Municipal de Braga,Viktor Kassai,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,20:30 (18:30),Spartak Moscow ru,0–3,fr Marseille,43217,Stadion Luzhniki,Wolfgang Stark,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,20:45,Auxerre fr,0–2,it Milan,19244,Stade Abbé,Damir Skomina,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,20:45,Roma it,3–2,de Bayern Munich,42789,Stadio Olimpico,Undiano Mallenco,Match Report,
2010/11,Group stage,5,Tue,2010-11-23,20:45,Partizan rs,0–3,ua Shakhtar D.,17473,Stadion FK Partizan,Frank de Bleeckere,Match Report,
