season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2018-19,Group stage,1,Tue,2018-09-18,18:55 (17:55),Barcelona es,4–0,nl PSV,73462,Camp Nou,Tasos Sidiropoulos,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,18:55 (17:55),Inter it,2–1,eng Tottenham,64123,Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,20:00,Liverpool eng,3–2,fr Paris SG,52478,Anfield,Baris Şimşek,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,21:00 (20:00),Red Star rs,0–0,it Napoli,49112,Stadion Rajko Mitić,Tomasz Musiał,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,21:00 (20:00),Club Brugge be,0–1,de Dortmund,25181,Jan Breydelstadion,Danny Makkelie,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,21:00 (20:00),Monaco fr,1–2,es Atlético Madrid,10575,Stade Louis II,William Collum,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,21:00 (20:00),Schalke 04 de,1–1,pt Porto,45755,Veltins-Arena,Ricardo de Burgos,Match Report,
2018-19,Group stage,1,Tue,2018-09-18,22:00 (20:00),Galatasaray tr,3–0,ru Loko Moscow,43542,Türk Telekom Arena,Luca Banti,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,18:55 (17:55),Ajax nl,3–0,gr AEK Athens,52285,Johan Cruyff ArenA,Carlos del Cerro,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,19:55 (17:55),Shakhtar D. ua,2–2,de Hoffenheim,28336,Oblasny SportKomplex Metalist,Jakob Kehlet,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,20:00,Manchester City eng,1–2,fr Lyon,40111,Etihad Stadium,Daniele Orsato,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,20:00,Benfica pt,0–2,de Bayern Munich,60274,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,21:00 (20:00),Valencia es,0–2,it Juventus,46067,Estadio de Mestalla,Felix Brych,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,21:00 (20:00),Real Madrid es,3–0,it Roma,69251,Estadio Santiago Bernabéu,Björn Kuipers,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,21:00 (20:00),Young Boys ch,0–3,eng Manchester Utd,31120,Stade de Suisse Wankdorf Bern,Deniz Aytekin,Match Report,
2018-19,Group stage,1,Wed,2018-09-19,21:00 (20:00),Viktoria Plzeň cz,2–2,ru CSKA Moscow,11312,Doosan Arena,Benoît Bastien,Match Report,
2018-19,Group stage,2,Tue,2018-10-02,18:55 (17:55),Hoffenheim de,1–2,eng Manchester City,24851,PreZero Arena,Matej Jug,Match Report,
2018-19,Group stage,2,Tue,2018-10-02,18:55 (17:55),Juventus it,3–0,ch Young Boys,40961,Allianz Stadium,Sergey Karasev,Match Report,
