season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2014/15,Group stage,1,Tue,2014-09-16,19:45,Benfica pt,0–2,ru Zenit,35294,Estádio do Sport Lisboa e Benfica,Svein Oddvar Moen,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,19:45,Liverpool eng,2–1,bg Ludogorets,43307,Anfield,Matej Jug,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,20:45 (19:45),Dortmund de,2–0,eng Arsenal,65851,Signal Iduna Park,Olegário Benquerença,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,20:45 (19:45),Monaco fr,1–0,de Leverkusen,8130,Stade Louis II,Pavel Královec,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,20:45 (19:45),Real Madrid es,5–1,ch Basel,65364,Estadio Santiago Bernabéu,Damir Skomina,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,20:45 (19:45),Juventus it,2–0,se Malmö,31218,Allianz Stadium,Szymon Marciniak,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,21:45 (19:45),Galatasaray tr,1–1,be Anderlecht,28553,Türk Telekom Arena,István Vad II,Match Report,
2014/15,Group stage,1,Tue,2014-09-16,21:45 (19:45),Olympiacos gr,3–2,es Atlético Madrid,31946,Stadio Georgios Karaiskáki,Pedro Proença,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,19:45,Chelsea eng,1–1,de Schalke 04,40648,Stamford Bridge,Ivan Bebek,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,19:45,Porto pt,6–0,by BATE Borisov,35108,Estádio Do Dragão,Bas Nijhuis,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),Roma it,5–1,ru CSKA Moscow,40888,Stadio Olimpico,David Fernández,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),Barcelona es,1–0,cy APOEL FC,62832,Camp Nou,Deniz Aytekin,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),Ajax nl,1–1,fr Paris SG,50430,Johan Cruyff ArenA,Wolfgang Stark,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),NK Maribor si,1–1,pt Sporting CP,12211,Ljudski vrt,Clément Turpin,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),Athletic Club es,0–0,ua Shakhtar D.,48351,San Mamés,Tasos Sidiropoulos,Match Report,
2014/15,Group stage,1,Wed,2014-09-17,20:45 (19:45),Bayern Munich de,1–0,eng Manchester City,68000,Allianz Arena,Alberto Undiano,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,19:45,Sporting CP pt,0–1,eng Chelsea,40734,Estádio José Alvalade,Antonio Matéu Lahoz,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,19:45,Manchester City eng,1–1,it Roma,37509,Etihad Stadium,Björn Kuipers,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,20:00 (17:00),CSKA Moscow ru,0–1,de Bayern Munich,,RZD Arena,William Collum,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,20:45 (19:45),Schalke 04 de,1–1,si NK Maribor,47997,Veltins-Arena,Carlos Velasco,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,20:45 (19:45),Paris SG fr,3–2,es Barcelona,46400,Parc des Princes,Nicola Rizzoli,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,21:45 (19:45),Shakhtar D. ua,2–2,pt Porto,33217,L'viv Arena,Cüneyt Çakιr,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,21:45 (19:45),APOEL FC cy,1–1,nl Ajax,17190,Neo GSP,Milorad Mažić,Match Report,
2014/15,Group stage,2,Tue,2014-09-30,21:45 (19:45),BATE Borisov by,2–1,es Athletic Club,11886,Borisov Arena,Stéphane Lannoy,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,19:45,Arsenal eng,4–1,tr Galatasaray,59803,Emirates Stadium,Gianluca Rocchi,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:00 (17:00),Zenit ru,0–0,fr Monaco,13817,Stadion Petrovskij,Mark Clattenburg,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:45 (19:45),Leverkusen de,3–1,pt Benfica,25202,BayArena,Martin Atkinson,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:45 (19:45),Malmö se,2–0,gr Olympiacos,20500,Swedbank Stadion,Sergey Karasev,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:45 (19:45),Atlético Madrid es,1–0,it Juventus,44322,Estadio Vicente Calderón,Felix Brych,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:45 (19:45),Basel ch,1–0,eng Liverpool,36000,St. Jakob-Park,Jonas Eriksson,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,20:45 (19:45),Anderlecht be,0–3,de Dortmund,18649,Lotto Park,Paolo Tagliavento,Match Report,
2014/15,Group stage,2,Wed,2014-10-01,21:45 (19:45),Ludogorets bg,1–2,es Real Madrid,41484,Stadion Vasil Levski,Craig Thomson,Match Report,
2014/15,Group stage,3,Tue,2014-10-21,19:45,Chelsea eng,6–0,si NK Maribor,41126,Stamford Bridge,Danny Makkelie,Match Report,
2014/15,Group stage,3,Tue,2014-10-21,19:45,Porto pt,2–1,es Athletic Club,45000,Estádio Do Dragão,Damir Skomina,Match Report,
2014/15,Group stage,3,Tue,2014-10-21,20:00 (17:00),CSKA Moscow ru,2–2,eng Manchester City,,Arena Khimki,István Vad II,Match Report,
2014/15,Group stage,3,Tue,2014-10-21,20:45 (19:45),Roma it,1–7,de Bayern Munich,65000,Stadio Olimpico,Jonas Eriksson,Match Report,
2014/15,Group stage,3,Tue,2014-10-21,20:45 (19:45),Schalke 04 de,4–3,pt Sporting CP,49943,Veltins-Arena,Sergey Karasev,Match Report,
