season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2022-23,Group stage,1,Tue,2022-09-06,18:45 (17:45),Dinamo Zagreb hr,1–0,eng Chelsea,20607,Stadion Maksimir,István Kovács,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,18:45 (17:45),Dortmund de,3–0,dk FC Copenhagen,70700,Signal Iduna Park,François Letexier,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,20:00,Celtic sct,0–3,es Real Madrid,57057,Celtic Park,Sandro Schärer,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,20:00,Benfica pt,2–0,il Maccabi Haifa,55130,Estádio do Sport Lisboa e Benfica,Andreas Ekberg,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,21:00 (20:00),RB Salzburg at,1–1,it Milan,29520,Red Bull Arena,Srđan Jovanović,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,21:00 (20:00),Sevilla es,0–4,eng Manchester City,38764,Estadio Ramón Sánchez Pizjuán,Davide Massa,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,21:00 (20:00),RB Leipzig de,1–4,ua Shakhtar D.,41591,Red Bull Arena,João Pinheiro,Match Report,
2022-23,Group stage,1,Tue,2022-09-06,21:00 (20:00),Paris SG fr,2–1,it Juventus,47415,Parc des Princes,Anthony Taylor,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,18:45 (17:45),Ajax nl,4–0,sct Rangers,52862,Johan Cruyff ArenA,Tobias Stieler,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,18:45 (17:45),Frankfurt de,0–3,pt Sporting CP,50500,Deutsche Bank Park,Orel Grinfeeld,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,20:00,Tottenham eng,2–0,fr Marseille,57367,Tottenham Hotspur Stadium,Slavko Vinčič,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,21:00 (20:00),Napoli it,4–1,eng Liverpool,51793,Stadio Diego Armando Maradona,Carlos del Cerro,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,21:00 (20:00),Atlético Madrid es,2–1,pt Porto,51777,Estadio Cívitas Metropolitano,Szymon Marciniak,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,21:00 (20:00),Barcelona es,5–1,cz Viktoria Plzeň,77411,Camp Nou,Lawrence Visser,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,21:00 (20:00),Inter it,0–2,de Bayern Munich,58951,Stadio Giuseppe Meazza,Clément Turpin,Match Report,
2022-23,Group stage,1,Wed,2022-09-07,21:00,Club Brugge be,1–0,de Leverkusen,21235,Jan Breydelstadion,Irfan Peljto,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,17:45,Sporting CP pt,2–0,eng Tottenham,39899,Estádio José Alvalade,Srđan Jovanović,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,18:45 (17:45),Viktoria Plzeň cz,0–2,it Inter,11252,Doosan Arena,Sandro Schärer,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,20:00,Liverpool eng,2–1,nl Ajax,52387,Anfield,Artur Dias,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,20:00,Porto pt,0–4,be Club Brugge,39225,Estádio Do Dragão,Anastasios Sidiropoulos,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,21:00 (20:00),Leverkusen de,2–0,es Atlético Madrid,25825,BayArena,Michael Oliver,Match Report,
2022-23,Group stage,2,Tue,2022-09-13,21:00 (20:00),Marseille fr,0–1,de Frankfurt,62500,Orange Vélodrome,José Sánchez,Match Report,
