season,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2013/14,Group stage,1,Tue,2013-09-17,19:45,Benfica pt,2–0,be Anderlecht,29393,Estádio do Sport Lisboa e Benfica,Manuel Gräfe,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,19:45,Manchester Utd eng,4–2,de Leverkusen,73040,Old Trafford,Damir Skomina,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,20:45 (19:45),Real Sociedad es,0–2,ua Shakhtar D.,27902,Anoeta,Ovidiu Haţegan,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,20:45 (19:45),Bayern Munich de,3–0,ru CSKA Moscow,68000,Fußball Arena München,Gianluca Rocchi,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,20:45 (19:45),Viktoria Plzeň cz,0–3,eng Manchester City,11281,Doosan Arena,Paolo Tagliavento,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,20:45 (19:45),FC Copenhagen dk,1–1,it Juventus,36524,Telia Parken,Ivan Bebek,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,21:45 (19:45),Galatasaray tr,1–6,es Real Madrid,47669,Ali Sami Yen Spor Kompleksi,Mark Clattenburg,Match Report,
2013/14,Group stage,1,Tue,2013-09-17,21:45 (19:45),Olympiacos gr,1–4,fr Paris SG,31253,Stadio Georgios Karaiskakis,Felix Brych,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,19:45,Chelsea eng,1–2,ch Basel,40358,Stamford Bridge,Daniele Orsato,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,20:45 (19:45),Napoli it,2–1,de Dortmund,55766,Stadio San Paolo,Pedro Proença,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,20:45 (19:45),Austria Wien at,0–1,pt Porto,37500,Ernst,Craig Thomson,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,20:45 (19:45),Milan it,2–0,sct Celtic,54623,Stadio Giuseppe Meazza,Wolfgang Stark,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,20:45 (19:45),Atlético Madrid es,3–1,ru Zenit,33855,Estadio Vicente Calderón,William Collum,Match Report,
2013/14,Group stage,1,Wed,2013-09-18,20:45 (19:45),Barcelona es,4–0,nl Ajax,79412,Camp Nou,Svein Oddvar Moen,Match Report,
