season,round,date,home_team,home_goals,away_goals,away_team,result
2023/24,Group stage,2023-09-19,Milan,0,0,Newcastle,D
2023/24,Group stage,2023-09-19,Young Boys,1,3,RB Leipzig,A
2023/24,Group stage,2023-09-19,Manchester City,3,1,Red Star,H
2023/24,Group stage,2023-09-19,Paris SG,2,0,Dortmund,H
2023/24,Group stage,2023-09-19,Lazio,1,1,Atlético Madrid,D
2023/24,Group stage,2023-09-19,Feyenoord,2,0,Celtic,H
2023/24,Group stage,2023-09-19,Barcelona,5,0,Antwerp,H
2023/24,Group stage,2023-09-19,Shakhtar D.,1,3,Porto,A
2023/24,Group stage,2023-09-20,Real Madrid,1,0,Union Berlin,H
2023/24,Group stage,2023-09-20,Galatasaray,2,2,FC Copenhagen,D
2023/24,Group stage,2023-09-20,Braga,1,2,Napoli,A
2023/24,Group stage,2023-09-20,Arsenal,4,0,PSV,H
2023/24,Group stage,2023-09-20,Benfica,0,2,RB Salzburg,A
2023/24,Group stage,2023-09-20,Sevilla,1,1,Lens,D
2023/24,Group stage,2023-09-20,Bayern Munich,4,3,Manchester Utd,H
2023/24,Group stage,2023-09-20,Real Sociedad,1,1,Inter,D
2023/24,Group stage,2023-10-03,RB Salzburg,0,2,Real Sociedad,A
2023/24,Group stage,2023-10-03,Union Berlin,2,3,Braga,A
2023/24,Group stage,2023-10-03,Manchester Utd,2,3,Galatasaray,A
2023/24,Group stage,2023-10-03,PSV,2,2,Sevilla,D
2023/24,Group stage,2023-10-03,Inter,1,0,Benfica,H
2023/24,Group stage,2023-10-03,FC Copenhagen,1,2,Bayern Munich,A
2023/24,Group stage,2023-10-03,Napoli,2,3,Real Madrid,A
2023/24,Group stage,2023-10-03,Lens,2,1,Arsenal,H
2023/24,Group stage,2023-10-04,Atlético Madrid,3,2,Feyenoord,H
2023/24,Group stage,2023-10-04,Antwerp,2,3,Shakhtar D.,A
2023/24,Group stage,2023-10-04,Newcastle,4,1,Paris SG,H
2023/24,Group stage,2023-10-04,Porto,0,1,Barcelona,A
2023/24,Group stage,2023-10-04,Celtic,1,2,Lazio,A
2023/24,Group stage,2023-10-04,RB Leipzig,1,3,Manchester City,A
2023/24,Group stage,2023-10-04,Dortmund,0,0,Milan,D
2023/24,Group stage,2023-10-04,Red Star,2,2,Young Boys,D
2023/24,Group stage,2023-10-24,Inter,2,1,RB Salzburg,H
2023/24,Group stage,2023-10-24,Galatasaray,1,3,Bayern Munich,A
2023/24,Group stage,2023-10-24,Manchester Utd,1,0,FC Copenhagen,H
2023/24,Group stage,2023-10-24,Benfica,0,1,Real Sociedad,A
2023/24,Group stage,2023-10-24,Braga,1,2,Real Madrid,A
2023/24,Group stage,2023-10-24,Sevilla,1,2,Arsenal,A
2023/24,Group stage,2023-10-24,Lens,1,1,PSV,D
2023/24,Group stage,2023-10-24,Union Berlin,0,1,Napoli,A
2023/24,Group stage,2023-10-25,Barcelona,2,1,Shakhtar D.,H
2023/24,Group stage,2023-10-25,Feyenoord,3,1,Lazio,H
2023/24,Group stage,2023-10-25,Celtic,2,2,Atlético Madrid,D
2023/24,Group stage,2023-10-25,Newcastle,0,1,Dortmund,A
2023/24,Group stage,2023-10-25,Antwerp,1,4,Porto,A
2023/24,Group stage,2023-10-25,Young Boys,1,3,Manchester City,A
2023/24,Group stage,2023-10-25,Paris SG,3,0,Milan,H
2023/24,Group stage,2023-10-25,RB Leipzig,3,1,Red Star,H
2023/24,Group stage,2023-11-07,Dortmund,2,0,Newcastle,H
2023/24,Group stage,2023-11-07,Shakhtar D.,1,0,Barcelona,H
2023/24,Group stage,2023-11-07,Manchester City,3,0,Young Boys,H
2023/24,Group stage,2023-11-07,Porto,2,0,Antwerp,H
2023/24,Group stage,2023-11-07,Red Star,1,2,RB Leipzig,A
2023/24,Group stage,2023-11-07,Milan,2,1,Paris SG,H
2023/24,Group stage,2023-11-07,Atlético Madrid,6,0,Celtic,H
2023/24,Group stage,2023-11-07,Lazio,1,0,Feyenoord,H
2023/24,Group stage,2023-11-08,Real Sociedad,3,1,Benfica,H
2023/24,Group stage,2023-11-08,Napoli,1,1,Union Berlin,D
2023/24,Group stage,2023-11-08,Arsenal,2,0,Sevilla,H
2023/24,Group stage,2023-11-08,PSV,1,0,Lens,H
2023/24,Group stage,2023-11-08,RB Salzburg,0,1,Inter,A
2023/24,Group stage,2023-11-08,FC Copenhagen,4,3,Manchester Utd,H
2023/24,Group stage,2023-11-08,Bayern Munich,2,1,Galatasaray,H
2023/24,Group stage,2023-11-08,Real Madrid,3,0,Braga,H
2023/24,Group stage,2023-11-28,Lazio,2,0,Celtic,H
2023/24,Group stage,2023-11-28,Shakhtar D.,1,0,Antwerp,H
2023/24,Group stage,2023-11-28,Manchester City,3,2,RB Leipzig,H
2023/24,Group stage,2023-11-28,Milan,1,3,Dortmund,A
2023/24,Group stage,2023-11-28,Paris SG,1,1,Newcastle,D
2023/24,Group stage,2023-11-28,Feyenoord,1,3,Atlético Madrid,A
2023/24,Group stage,2023-11-28,Young Boys,2,0,Red Star,H
2023/24,Group stage,2023-11-28,Barcelona,2,1,Porto,H
2023/24,Group stage,2023-11-29,Sevilla,2,3,PSV,A
2023/24,Group stage,2023-11-29,Benfica,3,3,Inter,D
2023/24,Group stage,2023-11-29,Braga,1,1,Union Berlin,D
2023/24,Group stage,2023-11-29,Arsenal,6,0,Lens,H
2023/24,Group stage,2023-11-29,Galatasaray,3,3,Manchester Utd,D
2023/24,Group stage,2023-11-29,Bayern Munich,0,0,FC Copenhagen,D
