season,round,date,home_team,home_goals,away_goals,away_team,result
2023/24,Group stage,2023-11-29,Real Madrid,4,2,Napoli,H
2023/24,Group stage,2023-11-29,Real Sociedad,0,0,RB Salzburg,D
2023/24,Group stage,2023-12-12,Lens,2,1,Sevilla,H
2023/24,Group stage,2023-12-12,PSV,1,1,Arsenal,D
2023/24,Group stage,2023-12-12,Manchester Utd,0,1,Bayern Munich,A
2023/24,Group stage,2023-12-12,FC Copenhagen,1,0,Galatasaray,H
2023/24,Group stage,2023-12-12,Inter,0,0,Real Sociedad,D
2023/24,Group stage,2023-12-12,RB Salzburg,1,3,Benfica,A
2023/24,Group stage,2023-12-12,Union Berlin,2,3,Real Madrid,A
2023/24,Group stage,2023-12-12,Napoli,2,0,Braga,H
2023/24,Group stage,2023-12-13,RB Leipzig,2,1,Young Boys,H
2023/24,Group stage,2023-12-13,Red Star,2,3,Manchester City,A
2023/24,Group stage,2023-12-13,Newcastle,1,2,Milan,A
2023/24,Group stage,2023-12-13,Porto,5,3,Shakhtar D.,H
2023/24,Group stage,2023-12-13,Celtic,2,1,Feyenoord,H
2023/24,Group stage,2023-12-13,Antwerp,3,2,Barcelona,H
2023/24,Group stage,2023-12-13,Dortmund,1,1,Paris SG,D
2023/24,Group stage,2023-12-13,Atlético Madrid,2,0,Lazio,H
2023/24,Round of 16,2024-02-13,RB Leipzig,0,1,Real Madrid,A
2023/24,Round of 16,2024-02-13,FC Copenhagen,1,3,Manchester City,A
2023/24,Round of 16,2024-02-14,Lazio,1,0,Bayern Munich,H
2023/24,Round of 16,2024-02-14,Paris SG,2,0,Real Sociedad,H
2023/24,Round of 16,2024-02-20,PSV,1,1,Dortmund,D
2023/24,Round of 16,2024-02-20,Inter,1,0,Atlético Madrid,H
2023/24,Round of 16,2024-02-21,Porto,1,0,Arsenal,H
2023/24,Round of 16,2024-02-21,Napoli,1,1,Barcelona,D
2023/24,Round of 16,2024-03-05,Bayern Munich,3,0,Lazio,H
2023/24,Round of 16,2024-03-05,Real Sociedad,1,2,Paris SG,A
2023/24,Round of 16,2024-03-06,Manchester City,3,1,FC Copenhagen,H
2023/24,Round of 16,2024-03-06,Real Madrid,1,1,RB Leipzig,D
2023/24,Round of 16,2024-03-12,Arsenal,1,0,Porto,H
2023/24,Round of 16,2024-03-12,Barcelona,3,1,Napoli,H
2023/24,Round of 16,2024-03-13,Dortmund,2,0,PSV,H
2023/24,Round of 16,2024-03-13,Atlético Madrid,2,1,Inter,H
2023/24,Quarter-finals,2024-04-09,Arsenal,2,2,Bayern Munich,D
2023/24,Quarter-finals,2024-04-09,Real Madrid,3,3,Manchester City,D
2023/24,Quarter-finals,2024-04-10,Atlético Madrid,2,1,Dortmund,H
2023/24,Quarter-finals,2024-04-10,Paris SG,2,3,Barcelona,A
2023/24,Quarter-finals,2024-04-16,Barcelona,1,4,Paris SG,A
2023/24,Quarter-finals,2024-04-16,Dortmund,4,2,Atlético Madrid,H
2023/24,Quarter-finals,2024-04-17,Manchester City,1,1,Real Madrid,D
2023/24,Quarter-finals,2024-04-17,Bayern Munich,1,0,Arsenal,H
2023/24,Semi-finals,2024-04-30,Bayern Munich,2,2,Real Madrid,D
2023/24,Semi-finals,2024-05-01,Dortmund,1,0,Paris SG,H
2023/24,Semi-finals,2024-05-07,Paris SG,0,1,Dortmund,A
2023/24,Semi-finals,2024-05-08,Real Madrid,2,1,Bayern Munich,H
2023/24,Final,2024-06-01,Dortmund,0,2,Real Madrid,A
