iter	MultiClass
0	1.090626635
1	1.083593939
2	1.075623736
3	1.068655992
4	1.06147026
5	1.054941696
6	1.048426473
7	1.043365964
8	1.038029551
9	1.032145051
10	1.027445893
11	1.022723227
12	1.018297165
13	1.013874912
14	1.00991735
15	1.005919855
16	1.001959754
17	0.9977891189
18	0.9941297486
19	0.9907399364
20	0.9876790179
21	0.9845063478
22	0.9816083574
23	0.9789555324
24	0.9770169378
25	0.9743983826
26	0.9720654676
27	0.9695295919
28	0.9665965184
29	0.9643791537
30	0.9623611024
31	0.9603729883
32	0.9582551828
33	0.9561396923
34	0.9540465938
35	0.9521545388
36	0.9504551065
37	0.9488495239
38	0.9470908953
39	0.9450190605
40	0.9433309531
41	0.9417147599
42	0.9404431768
43	0.9391661158
44	0.9374407255
45	0.9357719327
46	0.9341785237
47	0.9326161008
48	0.9310970324
49	0.9300435138
50	0.9291866297
51	0.9278539658
52	0.9266992298
53	0.9254810838
54	0.92443537
55	0.9236767723
56	0.92259773
57	0.9214475511
58	0.9207753036
59	0.9197483941
60	0.9187646023
61	0.9174586164
62	0.9165206403
63	0.9152959081
64	0.9143097296
65	0.9135115337
66	0.9127646735
67	0.9120352226
68	0.9113746793
69	0.9105693231
70	0.9097809517
71	0.9090221309
72	0.9084309252
73	0.9073362731
74	0.9066484047
75	0.9059115564
76	0.9053062999
77	0.9046835245
78	0.904021236
79	0.903394579
80	0.9027149585
81	0.9020149564
82	0.9013557447
83	0.900722324
84	0.9000570041
85	0.8992021452
86	0.898440485
87	0.8978064146
88	0.8970880585
89	0.8963804106
90	0.8957678357
91	0.8952373615
92	0.8946011371
93	0.894053272
94	0.8935740817
95	0.8928868413
96	0.8923183831
97	0.8915308235
98	0.8910724437
99	0.8906815242
100	0.8900398498
101	0.8896056269
102	0.8890716545
103	0.8886400554
104	0.8880664491
105	0.8875728676
106	0.8870030888
107	0.8867616651
108	0.8858368869
109	0.8851446857
110	0.8845521073
111	0.8842301116
112	0.8837501437
113	0.8831340756
114	0.8825571184
115	0.8817875995
116	0.8812889849
117	0.8808331781
118	0.8803357125
119	0.8798548918
120	0.87932075
121	0.878953536
122	0.8785259212
123	0.8782475963
124	0.8777934971
125	0.8774335945
126	0.8769041549
127	0.8763230429
128	0.8757156456
129	0.8751626333
130	0.8744877823
131	0.8737112152
132	0.8732801358
133	0.8727830708
134	0.872538564
135	0.8721261374
136	0.8714944157
137	0.871165113
138	0.8707470247
139	0.8705184565
140	0.870087255
141	0.869630798
142	0.8693447806
143	0.8689314901
144	0.8684707406
145	0.8678967683
146	0.8675362246
147	0.8670047588
148	0.8665976258
149	0.8662830568
150	0.8659172783
151	0.8655476213
152	0.8653723992
153	0.8651202764
154	0.864782777
155	0.8642726179
156	0.8640563476
157	0.8634899282
158	0.8632849229
159	0.8629608993
160	0.8625165153
161	0.861836921
162	0.8616333932
163	0.861302216
164	0.8609914585
165	0.8606774687
166	0.8599672512
167	0.8595503711
168	0.8592854447
169	0.858866825
170	0.8584804372
171	0.8582463004
172	0.857927593
173	0.8572493412
174	0.8566093653
175	0.8560408698
176	0.8556394596
177	0.8552550273
178	0.8549144323
179	0.8544919797
180	0.8538838437
181	0.853699947
182	0.8532977278
183	0.8530668118
184	0.8528663532
185	0.8523825017
186	0.8519502472
187	0.8517276271
188	0.851392046
189	0.8511399105
190	0.8509658322
191	0.8506192536
192	0.8502939074
193	0.8499170313
194	0.8496396221
195	0.849127891
196	0.8487211547
197	0.8484132436
198	0.848080132
199	0.8477495566
200	0.847267341
201	0.8465630882
202	0.8461516263
203	0.8457064682
204	0.8452044683
205	0.8448369473
206	0.844349583
207	0.8438764979
208	0.8433985309
209	0.8429604907
210	0.842611503
211	0.8423378795
