iter	MultiClass
212	0.8418811459
213	0.8413958591
214	0.8411242091
215	0.840630943
216	0.8403495921
217	0.8400770789
218	0.8397838564
219	0.8394058799
220	0.8389869345
221	0.8388314239
222	0.8384265831
223	0.838023658
224	0.8376795856
225	0.8373246456
226	0.8371815009
227	0.8369994821
228	0.8367692107
229	0.8366373904
230	0.8362579254
231	0.8359618069
232	0.8354520122
233	0.8350226279
234	0.8346291231
235	0.8339412277
236	0.8335252025
237	0.832943068
238	0.8325441654
239	0.8323496192
240	0.83211975
241	0.8318934174
242	0.8314412264
243	0.8311770985
244	0.8307010007
245	0.8300832296
246	0.829851167
247	0.8292166606
248	0.828916577
249	0.8284432671
250	0.8280161794
251	0.8276950549
252	0.827494715
253	0.827060447
254	0.8266781038
255	0.8263704111
256	0.8260072808
257	0.8256958123
258	0.8253122561
259	0.82496888
260	0.8244476458
261	0.8238065206
262	0.8231458668
263	0.8228672087
264	0.8223472527
265	0.8218810844
266	0.8211872696
267	0.8208856884
268	0.820274536
269	0.8199085511
270	0.8195225941
271	0.8193174563
272	0.8189963191
273	0.818493232
274	0.8178986677
275	0.8175263489
276	0.8173055316
277	0.8170598345
278	0.8167494889
279	0.8164942175
280	0.815885267
281	0.8155617832
282	0.8151559334
283	0.8146784995
284	0.8143116545
285	0.8140230357
286	0.8137966224
287	0.8132683505
288	0.8129686927
289	0.8125561858
290	0.8120755147
291	0.811555006
292	0.811093157
293	0.8109379506
294	0.8105942552
295	0.8100453303
296	0.8096214981
297	0.8093107129
298	0.8091601108
299	0.8088050869
300	0.8084889925
301	0.8081692585
302	0.8076587649
303	0.8071163097
304	0.8066846014
305	0.806344628
306	0.8057577674
307	0.8053327761
308	0.8048202182
309	0.804288679
310	0.8039434765
311	0.8033755334
312	0.8030172531
313	0.8028109397
314	0.8025327323
315	0.8020027512
316	0.801488199
317	0.8010260688
318	0.8006673158
319	0.7999339049
320	0.7995991027
321	0.7992973786
322	0.7990817067
323	0.7987013392
324	0.7982696845
325	0.7979985338
326	0.797732521
327	0.7974587633
328	0.7968710401
329	0.7962712704
330	0.7959118737
331	0.7955309873
332	0.7952719049
333	0.7949736251
334	0.7946688651
335	0.794308907
336	0.7940070578
337	0.793313911
338	0.7930458783
339	0.7925447892
340	0.7919279309
341	0.7913997073
342	0.7911487167
343	0.7908703348
344	0.7903214183
345	0.7897264628
346	0.7892365144
347	0.7888413276
348	0.7884495461
349	0.7881950359
350	0.7875465721
351	0.7870617929
352	0.7865715643
353	0.7862205862
354	0.7857800264
355	0.785397704
356	0.784984347
357	0.7845279569
358	0.7841231115
359	0.7838701081
360	0.7837069976
361	0.7830266605
362	0.7826838577
363	0.7823888137
364	0.7821100492
365	0.7816985337
366	0.7812287883
367	0.7808873234
368	0.7804597931
369	0.7799692673
370	0.779593345
371	0.7790352133
372	0.7785259535
373	0.7780878278
374	0.7776397114
375	0.7772267617
376	0.7768627426
377	0.7765063073
378	0.7760170022
379	0.7754790421
380	0.7751256635
381	0.7749490602
382	0.7746928872
383	0.7742628681
384	0.7738615937
385	0.7735233514
386	0.7731787401
387	0.772707685
388	0.7724715866
389	0.7720689385
390	0.7716652869
391	0.7712802628
392	0.7708340573
393	0.7705308687
394	0.7703309564
395	0.769835392
396	0.7693312421
397	0.7691622206
398	0.7687146294
399	0.7685119859
400	0.7680735701
401	0.7679315714
402	0.7676757062
403	0.7673479029
404	0.767144387
405	0.7666814453
406	0.7663357647
407	0.7659209573
408	0.7654665432
409	0.7651320553
410	0.7646043544
411	0.7642024392
412	0.763635686
413	0.7633627495
414	0.7631492157
415	0.7626715055
416	0.7624044393
417	0.7621057967
418	0.761684517
419	0.7612754312
420	0.7608391727
421	0.7605634168
422	0.7602832586
423	0.7599823422
424	0.7594924539
425	0.7590613331
426	0.758635445
427	0.7583072613
428	0.7578318615
429	0.7574039092
430	0.756957474
431	0.7565122238
432	0.7562425144
433	0.7559555064
434	0.7556136677
435	0.7551965102
436	0.7548720575
437	0.75447815
438	0.7542199009
439	0.7539797818
440	0.7535863677
441	0.7530829192
442	0.7526707393
443	0.7523068635
444	0.7520631382
445	0.7517029583
446	0.7512703661
447	0.7507745863
448	0.750238858
449	0.7499438555
450	0.7495716035
451	0.7491052935
452	0.7488780786
453	0.7485867227
454	0.7483147162
455	0.7480739073
456	0.747752079
457	0.7473532854
458	0.7469089127
459	0.7465981924
460	0.7463916509
461	0.7462417552
462	0.7459088444
463	0.7455057584
464	0.7451955193
465	0.7446915684
466	0.7442806474
467	0.7440990595
468	0.7435756641
469	0.74319078
470	0.742712513
471	0.7424608537
472	0.7419875643
473	0.741506299
474	0.7410762538
475	0.7407943673
476	0.7403165882
477	0.7400263241
478	0.7397828162
479	0.7394172915
480	0.7391801818
481	0.7386471458
482	0.7382292461
483	0.7380483961
484	0.7378419999
485	0.737424725
486	0.7369871443
487	0.7366571916
488	0.7363086039
489	0.7359931204
490	0.7354892967
491	0.7351670492
492	0.7347099839
493	0.7343006072
494	0.734042506
495	0.733753451
496	0.7333855617
497	0.73287024
498	0.7324878068
499	0.732010077
