season,round,date,home_team,home_goals,away_goals,away_team,result,home_current_season_matches,away_current_season_matches,home_current_season_win_rate,away_current_season_win_rate,home_current_season_draw_rate,away_current_season_draw_rate,home_current_season_goal_difference,away_current_season_goal_difference,home_current_season_avg_goals_for,away_current_season_avg_goals_for,home_current_season_avg_goals_against,away_current_season_avg_goals_against,current_season_win_rate_edge,current_season_draw_rate_edge,current_season_goal_difference_edge,current_season_attack_edge,current_season_defense_edge
2025-26,League phase,2025-09-30,Inter,3,0,Slavia Prague,H,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,-1.0,2.0,0.0,2.0
2025-26,League phase,2025-09-30,Marseille,4,0,Ajax,H,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
2025-26,League phase,2025-09-30,Pafos FC,1,5,Bayern Munich,A,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,-1.0,1.0,-2.0,-3.0,1.0
2025-26,League phase,2025-10-01,Arsenal,2,0,Olympiacos,H,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,-1.0,2.0,2.0,0.0
2025-26,League phase,2025-10-01,Barcelona,1,2,Paris SG,A,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,-3.0,-2.0,-1.0
2025-26,League phase,2025-10-01,Dortmund,4,1,Athletic Club,H,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,4.0,0.0,4.0,2.0,0.0,1.0,2.0,4.0,-2.0
2025-26,League phase,2025-10-01,Leverkusen,1,1,PSV,D,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0
2025-26,League phase,2025-10-01,Monaco,2,2,Manchester City,D,1.0,1.0,0.0,1.0,0.0,0.0,-3.0,2.0,1.0,2.0,4.0,0.0,-1.0,0.0,-5.0,-1.0,-4.0
2025-26,League phase,2025-10-01,Napoli,2,1,Sporting CP,H,1.0,1.0,0.0,1.0,0.0,0.0,-2.0,3.0,0.0,4.0,2.0,1.0,-1.0,0.0,-5.0,-4.0,-1.0
2025-26,League phase,2025-10-01,Qarabağ,2,0,FC Copenhagen,H,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,-1.0,1.0,1.0,0.0
